,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
16220,19052401230185,ASP,2019-05-06,RES,blank,1966/12,3.75,0,503,0,7455,PORTION OF F/R ABOVE LG/F                                                                                ,blank,5551431,19052401230185,B,,blank,blank,blank,blank,blank,blank,VILLAGE RD,山村道,58,blank,HHV,IL2551sB,||Phase |Block ,山村道|Phase|Block,山村道|Phase|Block|G|B,跑馬地/黃泥涌,1966,54,blankblank,58 VILLAGE RD|山村道,58 VILLAGE RD,58 山村道,58 山村道,58 VILLAGE RD,58 VILLAGE RD|山村道,VILLAGE RDblankblankblank|Phaseblank|Blockblank|G|Bconsid3.75,G,近乎零,高層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
16406,19112201930139,ASP,2019-11-05,RES,blank,1992/08,8.0,582,435,13746,18391,blank,blank,5643745,19112201930139,B,22.0,blank,blank,PANNY COURT,鵬麗閣,blank,blank,VILLAGE RD,山村道,5,blank,HHV,IL2841RP,|PANNY COURT鵬麗閣|Phase |Block ,山村道PANNY COURT鵬麗閣|Phase|Block,山村道PANNY COURT鵬麗閣|Phase|Block|22|B,跑馬地/黃泥涌,1992,28,PANNY COURT鵬麗閣,5 VILLAGE RD|山村道,5 VILLAGE RD,5 山村道,"鵬麗閣,山村道","PANNY COURT,VILLAGE RD","PANNY COURT,VILLAGE RD|鵬麗閣,山村道",VILLAGE RDblankPANNY COURT鵬麗閣|Phaseblank|Blockblank|22|Bconsid8.0,22,低,高層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16305,19080501140054,ASP,2019-07-11,RES,blank,1958/12,8.0,0,605,0,13223,blank,blank,5592334,19080501140054,D,2.0,blank,blank,STARLIGHT HSE,星華大廈,blank,blank,LEIGHTON RD,禮頓道,34A,blank,HHV,IL483RP / IL483sA,|STARLIGHT HSE星華大廈|Phase |Block ,禮頓道STARLIGHT HSE星華大廈|Phase|Block,禮頓道STARLIGHT HSE星華大廈|Phase|Block|2|D,跑馬地/黃泥涌,1958,62,STARLIGHT HSE星華大廈,34A LEIGHTON RD|禮頓道,34A LEIGHTON RD,34A 禮頓道,"星華大廈,禮頓道","STARLIGHT HSE,LEIGHTON RD","STARLIGHT HSE,LEIGHTON RD|星華大廈,禮頓道",LEIGHTON RDblankSTARLIGHT HSE星華大廈|Phaseblank|Blockblank|2|Dconsid8.0,2,高,低層,北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16283,19062802340023,ASP,2019-06-18,RES,blank,1996/04,8.0,505,349,15842,22923,blank,blank,5574102,19062802340023,A,5.0,blank,blank,blank,blank,blank,blank,SING WOO RD,成和道,68,blank,HHV,IL2675RP / IL2676RP /,||Phase |Block ,成和道|Phase|Block,成和道|Phase|Block|5|A,跑馬地/黃泥涌,1996,24,blankblank,68 SING WOO RD|成和道,68 SING WOO RD,68 成和道,68 成和道,68 SING WOO RD,68 SING WOO RD|成和道,SING WOO RDblankblankblank|Phaseblank|Blockblank|5|Aconsid8.0,5,近乎零,高層,南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16482,20031001690015,ASP,2020-03-02,RES,blank,1999/06,8.0,629,377,12719,21220,blank,BW:29 SF (GI/NE) / ,5682963,20031001690015,B,17.0,blank,blank,THE GRACEDALE,逸怡居,blank,blank,YUK SAU ST,毓秀街,23,blank,HHV,IL6230 / IL6231 /,|THE GRACEDALE逸怡居|Phase |Block ,毓秀街THE GRACEDALE逸怡居|Phase|Block,毓秀街THE GRACEDALE逸怡居|Phase|Block|17|B,跑馬地/黃泥涌,1999,21,THE GRACEDALE逸怡居,23 YUK SAU ST|毓秀街,23 YUK SAU ST,23 毓秀街,"逸怡居,毓秀街","THE GRACEDALE,YUK SAU ST","THE GRACEDALE,YUK SAU ST|逸怡居,毓秀街",YUK SAU STblankTHE GRACEDALE逸怡居|Phaseblank|Blockblank|17|Bconsid8.0,17,很低,中層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
16596,20063001100219,ASP,2020-06-05,RES,blank,1966/03,8.0,0,667,0,11994,blank,blank,5731229,20063001100219,9,3.0,blank,blank,KING CHEUNG MANS,景祥大鏤,blank,blank,KING KWONG ST,景光街,5,blank,HHV,IL4125RP / IL4126RP /,|KING CHEUNG MANS景祥大鏤|Phase |Block ,景光街KING CHEUNG MANS景祥大鏤|Phase|Block,景光街KING CHEUNG MANS景祥大鏤|Phase|Block|3|9,跑馬地/黃泥涌,1966,54,KING CHEUNG MANS景祥大鏤,5 KING KWONG ST|景光街,5 KING KWONG ST,5 景光街,"景祥大鏤,景光街","KING CHEUNG MANS,KING KWONG ST","KING CHEUNG MANS,KING KWONG ST|景祥大鏤,景光街",KING KWONG STblankKING CHEUNG MANS景祥大鏤|Phaseblank|Blockblank|3|9consid8.0,3,近乎零,高層,東南,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16265,19062000130013,ASP,2019-06-11,RES,blank,1977/09,8.08,425,345,19012,23420,+RF                                                                             ,blank,5568192,19062000130013,B,22.0,blank,blank,KAM KWONG MANS,金光大廈,blank,blank,KING KWONG ST,景光街,36,44,HHV,IL3332RP / IL3096RP /,|KAM KWONG MANS金光大廈|Phase |Block ,景光街KAM KWONG MANS金光大廈|Phase|Block,景光街KAM KWONG MANS金光大廈|Phase|Block|22|B,跑馬地/黃泥涌,1977,43,KAM KWONG MANS金光大廈,36-44 KING KWONG ST|景光街,36-44 KING KWONG ST,36-44 景光街,"金光大廈,景光街","KAM KWONG MANS,KING KWONG ST","KAM KWONG MANS,KING KWONG ST|金光大廈,景光街",KING KWONG STblankKAM KWONG MANS金光大廈|Phaseblank|Blockblank|22|Bconsid8.08,22,低,低層,東,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16609,20071002430229,ASP,2020-07-02,RES,blank,1972/03,8.1,0,630,0,12857,blank,blank,5737206,20071002430229,R.P.,1.0,blank,blank,blank,blank,blank,blank,KING KWONG ST,景光街,13,blank,HHV,IL3291RP,||Phase |Block ,景光街|Phase|Block,景光街|Phase|Block|1|R.P.,跑馬地/黃泥涌,1972,48,blankblank,13 KING KWONG ST|景光街,13 KING KWONG ST,13 景光街,13 景光街,13 KING KWONG ST,13 KING KWONG ST|景光街,KING KWONG STblankblankblank|Phaseblank|Blockblank|1|R.P.consid8.1,1,中,中層,東南,呂字型,基本,單位實用四正 交通方便 配套完善
16598,20063002110037,ASP,2020-06-19,RES,blank,1989/06,8.12,590,476,13763,17059,blank,BW:24 SF (GU/NU) / ,5731545,20063002110037,B,4.0,blank,blank,JADE TERR,華翠臺,blank,blank,LINK RD,連道,3,blank,HHV,IL1946sAss1sA /,|JADE TERR華翠臺|Phase |Block ,連道JADE TERR華翠臺|Phase|Block,連道JADE TERR華翠臺|Phase|Block|4|B,跑馬地/黃泥涌,1989,31,JADE TERR華翠臺,3 LINK RD|連道,3 LINK RD,3 連道,"華翠臺,連道","JADE TERR,LINK RD","JADE TERR,LINK RD|華翠臺,連道",LINK RDblankJADE TERR華翠臺|Phaseblank|Blockblank|4|Bconsid8.12,4,低,高層,北,四正,有,單位實用四正 交通方便 配套完善
16118,19040302110017,ASP,2019-03-27,RES,blank,1974/07,8.18,0,500,0,16360,blank,blank,5520381,19040302110017,D,1.0,blank,blank,blank,blank,blank,blank,FUNG FAI TERR,鳳輝臺,7,blank,HHV,IL2592,||Phase |Block ,鳳輝臺|Phase|Block,鳳輝臺|Phase|Block|1|D,跑馬地/黃泥涌,1974,46,blankblank,7 FUNG FAI TERR|鳳輝臺,7 FUNG FAI TERR,7 鳳輝臺,7 鳳輝臺,7 FUNG FAI TERR,7 FUNG FAI TERR|鳳輝臺,FUNG FAI TERRblankblankblank|Phaseblank|Blockblank|1|Dconsid8.18,1,中,低層,東南,四正,有,業主減價 上車筍盤 歡迎約睇
16198,19051600510019,ASP,2019-04-16,RES,PT,1971/10,8.18,0,429,0,19068,blank,blank,5545216,19051600510019,A,5.0,blank,blank,blank,blank,blank,blank,YIK YAM ST,奕蔭街,29,31,HHV,IL3300RP / IL3299RP,||Phase |Block ,奕蔭街|Phase|Block,奕蔭街|Phase|Block|5|A,跑馬地/黃泥涌,1971,49,blankblank,29-31 YIK YAM ST|奕蔭街,29-31 YIK YAM ST,29-31 奕蔭街,29-31 奕蔭街,29-31 YIK YAM ST,29-31 YIK YAM ST|奕蔭街,YIK YAM STblankblankblank|Phaseblank|Blockblank|5|Aconsid8.18,5,中,低層,東北,沒資料,良好,業主減價 上車筍盤 歡迎約睇
16583,20061701800125,ASP,2020-06-08,RES,blank,1957/02,8.2,0,543,0,15101,blank,blank,5725238,20061701800125,R.P.,1.0,blank,blank,blank,blank,blank,blank,WONG NAI CHUNG RD,黃泥涌道,87,blank,HHV,IL5498,||Phase |Block ,黃泥涌道|Phase|Block,黃泥涌道|Phase|Block|1|R.P.,跑馬地/黃泥涌,1957,63,blankblank,87 WONG NAI CHUNG RD|黃泥涌道,87 WONG NAI CHUNG RD,87 黃泥涌道,87 黃泥涌道,87 WONG NAI CHUNG RD,87 WONG NAI CHUNG RD|黃泥涌道,WONG NAI CHUNG RDblankblankblank|Phaseblank|Blockblank|1|R.P.consid8.2,1,高,中層,西北,沒資料,有,單位實用四正 交通方便 配套完善
16140,19041600490184,ASP,2019-04-04,RES,blank,1999/06,8.28,617,384,13420,21562,blank,BW:6 SF (GI/NE) / ,5526992,19041600490184,A,21.0,blank,blank,THE GRACEDALE,逸怡居,blank,blank,YUK SAU ST,毓秀街,23,blank,HHV,IL6230 / IL6231 /,|THE GRACEDALE逸怡居|Phase |Block ,毓秀街THE GRACEDALE逸怡居|Phase|Block,毓秀街THE GRACEDALE逸怡居|Phase|Block|21|A,跑馬地/黃泥涌,1999,21,THE GRACEDALE逸怡居,23 YUK SAU ST|毓秀街,23 YUK SAU ST,23 毓秀街,"逸怡居,毓秀街","THE GRACEDALE,YUK SAU ST","THE GRACEDALE,YUK SAU ST|逸怡居,毓秀街",YUK SAU STblankTHE GRACEDALE逸怡居|Phaseblank|Blockblank|21|Aconsid8.28,21,很低,高層,東,沒資料,有,業主減價 上車筍盤 歡迎約睇
16509,20041600160021,ASP,2020-03-23,RES,blank,1985/12,8.3,0,507,0,16371,blank,blank,5696462,20041600160021,blank,3.0,blank,blank,ASCOT VILLAS,雅仕閣,blank,blank,KING KWONG ST,景光街,11,blank,HHV,IL5377,|ASCOT VILLAS雅仕閣|Phase |Block ,景光街ASCOT VILLAS雅仕閣|Phase|Block,景光街ASCOT VILLAS雅仕閣|Phase|Block|3|,跑馬地/黃泥涌,1985,35,ASCOT VILLAS雅仕閣,11 KING KWONG ST|景光街,11 KING KWONG ST,11 景光街,"雅仕閣,景光街","ASCOT VILLAS,KING KWONG ST","ASCOT VILLAS,KING KWONG ST|雅仕閣,景光街",KING KWONG STblankASCOT VILLAS雅仕閣|Phaseblank|Blockblank|3|blankconsid8.3,3,低,低層,西,呂字型,良好,單位實用四正 交通方便 配套完善
16621,20072001730155,ASP,2020-07-10,RES,blank,1965/01,8.36,0,538,0,15539,blank,blank,5741903,20072001730155,C,9.0,blank,blank,WINNER BLDG,永勝大廈,blank,blank,WONG NAI CHUNG RD,黃泥涌道,11,11A,HHV,IL8692,|WINNER BLDG永勝大廈|Phase |Block ,黃泥涌道WINNER BLDG永勝大廈|Phase|Block,黃泥涌道WINNER BLDG永勝大廈|Phase|Block|9|C,跑馬地/黃泥涌,1965,55,WINNER BLDG永勝大廈,11-11A WONG NAI CHUNG RD|黃泥涌道,11-11A WONG NAI CHUNG RD,11-11A 黃泥涌道,"永勝大廈,黃泥涌道","WINNER BLDG,WONG NAI CHUNG RD","WINNER BLDG,WONG NAI CHUNG RD|永勝大廈,黃泥涌道",WONG NAI CHUNG RDblankWINNER BLDG永勝大廈|Phaseblank|Blockblank|9|Cconsid8.36,9,近乎零,中層,北,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16179,19050802140130,ASP,2019-04-24,RES,blank,1979/06,8.38,574,470,14599,17830,blank,blank,5539715,19050802140130,B,15.0,blank,blank,HORACE COURT,愉寶大廈,blank,blank,SHAN KWONG RD,山光道,3,blank,HHV,IL3036sARP / IL3036RP /,|HORACE COURT愉寶大廈|Phase |Block ,山光道HORACE COURT愉寶大廈|Phase|Block,山光道HORACE COURT愉寶大廈|Phase|Block|15|B,跑馬地/黃泥涌,1979,41,HORACE COURT愉寶大廈,3 SHAN KWONG RD|山光道,3 SHAN KWONG RD,3 山光道,"愉寶大廈,山光道","HORACE COURT,SHAN KWONG RD","HORACE COURT,SHAN KWONG RD|愉寶大廈,山光道",SHAN KWONG RDblankHORACE COURT愉寶大廈|Phaseblank|Blockblank|15|Bconsid8.38,15,低,低層,西北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16186,19051400560028,ASP,2019-04-24,RES,blank,1992/08,8.38,673,480,12452,17458,blank,blank,5542422,19051400560028,B,24.0,blank,blank,THE VALLEY VIEW,威利閣,blank,blank,TSUI MAN ST,聚文街,12A,blank,HHV,IL7661 / IL7662 /IL7080RP,|THE VALLEY VIEW威利閣|Phase |Block ,聚文街THE VALLEY VIEW威利閣|Phase|Block,聚文街THE VALLEY VIEW威利閣|Phase|Block|24|B,跑馬地/黃泥涌,1992,28,THE VALLEY VIEW威利閣,12A TSUI MAN ST|聚文街,12A TSUI MAN ST,12A 聚文街,"威利閣,聚文街","THE VALLEY VIEW,TSUI MAN ST","THE VALLEY VIEW,TSUI MAN ST|威利閣,聚文街",TSUI MAN STblankTHE VALLEY VIEW威利閣|Phaseblank|Blockblank|24|Bconsid8.38,24,低,低層,西北,呂字型,有,業主減價 上車筍盤 歡迎約睇
16536,20052601070122,ASP,2020-05-18,RES,blank,1979/06,8.4,504,420,16667,20000,blank,blank,5712098,20052601070122,A,20.0,blank,blank,HORACE COURT,愉寶大廈,blank,blank,SHAN KWONG RD,山光道,3,blank,HHV,IL3036sARP / IL3036RP /,|HORACE COURT愉寶大廈|Phase |Block ,山光道HORACE COURT愉寶大廈|Phase|Block,山光道HORACE COURT愉寶大廈|Phase|Block|20|A,跑馬地/黃泥涌,1979,41,HORACE COURT愉寶大廈,3 SHAN KWONG RD|山光道,3 SHAN KWONG RD,3 山光道,"愉寶大廈,山光道","HORACE COURT,SHAN KWONG RD","HORACE COURT,SHAN KWONG RD|愉寶大廈,山光道",SHAN KWONG RDblankHORACE COURT愉寶大廈|Phaseblank|Blockblank|20|Aconsid8.4,20,低,低層,北,呂字型,基本,單位實用四正 交通方便 配套完善
16243,19060500130281,ASP,2019-05-15,RES,PT,1980/08,8.4,0,509,0,16503,blank,blank,5560699,19060500130281,B,5.0,blank,blank,blank,blank,blank,blank,SHAN KWONG RD,山光道,8,blank,HHV,IL2343sAss3,||Phase |Block ,山光道|Phase|Block,山光道|Phase|Block|5|B,跑馬地/黃泥涌,1980,40,blankblank,8 SHAN KWONG RD|山光道,8 SHAN KWONG RD,8 山光道,8 山光道,8 SHAN KWONG RD,8 SHAN KWONG RD|山光道,SHAN KWONG RDblankblankblank|Phaseblank|Blockblank|5|Bconsid8.4,5,低,高層,西,四正,有,單位實用四正 交通方便 配套完善
16135,19041201520019,ASP,2019-03-22,RES,blank,1967/01,8.5,590,480,14407,17708,blank,blank,5525234,19041201520019,B,11.0,blank,blank,CATHAY GDN,嘉泰大廈,blank,blank,VILLAGE RD,山村道,46,48,HHV,IL8072,|CATHAY GDN嘉泰大廈|Phase |Block ,山村道CATHAY GDN嘉泰大廈|Phase|Block,山村道CATHAY GDN嘉泰大廈|Phase|Block|11|B,跑馬地/黃泥涌,1967,53,CATHAY GDN嘉泰大廈,46-48 VILLAGE RD|山村道,46-48 VILLAGE RD,46-48 山村道,"嘉泰大廈,山村道","CATHAY GDN,VILLAGE RD","CATHAY GDN,VILLAGE RD|嘉泰大廈,山村道",VILLAGE RDblankCATHAY GDN嘉泰大廈|Phaseblank|Blockblank|11|Bconsid8.5,11,中,高層,東北,呂字型,有,業主減價 上車筍盤 歡迎約睇
16260,19061900540027,ASP,2019-05-24,RES,blank,1964/10,8.55,0,573,0,14921,blank,blank,5567577,19061900540027,blank,4.0,blank,blank,blank,blank,blank,blank,SING WOO RD,成和道,3,blank,HHV,IL8708,||Phase |Block ,成和道|Phase|Block,成和道|Phase|Block|4|,跑馬地/黃泥涌,1964,56,blankblank,3 SING WOO RD|成和道,3 SING WOO RD,3 成和道,3 成和道,3 SING WOO RD,3 SING WOO RD|成和道,SING WOO RDblankblankblank|Phaseblank|Blockblank|4|blankconsid8.55,4,高,高層,北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16546,20060100300098,ASP,2020-05-22,RES,blank,1999/06,8.6,617,384,13938,22396,blank,BW:6 SF (GI/NE) / ,5714985,20060100300098,A,25.0,blank,blank,THE GRACEDALE,逸怡居,blank,blank,YUK SAU ST,毓秀街,23,blank,HHV,IL6230 / IL6231 /,|THE GRACEDALE逸怡居|Phase |Block ,毓秀街THE GRACEDALE逸怡居|Phase|Block,毓秀街THE GRACEDALE逸怡居|Phase|Block|25|A,跑馬地/黃泥涌,1999,21,THE GRACEDALE逸怡居,23 YUK SAU ST|毓秀街,23 YUK SAU ST,23 毓秀街,"逸怡居,毓秀街","THE GRACEDALE,YUK SAU ST","THE GRACEDALE,YUK SAU ST|逸怡居,毓秀街",YUK SAU STblankTHE GRACEDALE逸怡居|Phaseblank|Blockblank|25|Aconsid8.6,25,很低,高層,東北,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16374,19102100380248,ASP,2019-10-14,RES,blank,1977/09,8.6,556,460,15468,18696,blank,blank,5629144,19102100380248,D,14.0,blank,blank,KAM KWONG MANS,金光大廈,blank,blank,KING KWONG ST,景光街,36,44,HHV,IL3332RP / IL3096RP /,|KAM KWONG MANS金光大廈|Phase |Block ,景光街KAM KWONG MANS金光大廈|Phase|Block,景光街KAM KWONG MANS金光大廈|Phase|Block|14|D,跑馬地/黃泥涌,1977,43,KAM KWONG MANS金光大廈,36-44 KING KWONG ST|景光街,36-44 KING KWONG ST,36-44 景光街,"金光大廈,景光街","KAM KWONG MANS,KING KWONG ST","KAM KWONG MANS,KING KWONG ST|金光大廈,景光街",KING KWONG STblankKAM KWONG MANS金光大廈|Phaseblank|Blockblank|14|Dconsid8.6,14,低,高層,東,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16431,19122401630090,ASP,2019-12-17,RES,blank,1990/01,8.6,648,476,13272,18067,blank,BW:17 SF (GI/NE) / ,5656472,19122401630090,C,9.0,blank,blank,CLAYMORE LODGE,嘉樂居,blank,blank,VILLAGE RD,山村道,33,blank,HHV,IL2914RP / IL3348RP /,|CLAYMORE LODGE嘉樂居|Phase |Block ,山村道CLAYMORE LODGE嘉樂居|Phase|Block,山村道CLAYMORE LODGE嘉樂居|Phase|Block|9|C,跑馬地/黃泥涌,1990,30,CLAYMORE LODGE嘉樂居,33 VILLAGE RD|山村道,33 VILLAGE RD,33 山村道,"嘉樂居,山村道","CLAYMORE LODGE,VILLAGE RD","CLAYMORE LODGE,VILLAGE RD|嘉樂居,山村道",VILLAGE RDblankCLAYMORE LODGE嘉樂居|Phaseblank|Blockblank|9|Cconsid8.6,9,低,低層,東南,四正,基本,單位實用四正 交通方便 配套完善
16149,19041800640029,ASP,2019-04-11,RES,blank,1999/06,8.78,645,401,13612,21895,blank,BW:8 SF (GI/NE) / ,5528997,19041800640029,B,19.0,blank,blank,THE GRACEDALE,逸怡居,blank,blank,YUK SAU ST,毓秀街,23,blank,HHV,IL6230 / IL6231 /,|THE GRACEDALE逸怡居|Phase |Block ,毓秀街THE GRACEDALE逸怡居|Phase|Block,毓秀街THE GRACEDALE逸怡居|Phase|Block|19|B,跑馬地/黃泥涌,1999,21,THE GRACEDALE逸怡居,23 YUK SAU ST|毓秀街,23 YUK SAU ST,23 毓秀街,"逸怡居,毓秀街","THE GRACEDALE,YUK SAU ST","THE GRACEDALE,YUK SAU ST|逸怡居,毓秀街",YUK SAU STblankTHE GRACEDALE逸怡居|Phaseblank|Blockblank|19|Bconsid8.78,19,很低,低層,南,呂字型,良好,單位實用四正 交通方便 配套完善
16241,19060401430046,ASP,2019-05-14,RES,PT,1967/01,8.8,0,471,0,18684,blank,blank,5559771,19060401430046,B,12.0,blank,blank,CATHAY GDN,嘉泰大廈,blank,blank,VILLAGE RD,山村道,46,48,HHV,IL8072,|CATHAY GDN嘉泰大廈|Phase |Block ,山村道CATHAY GDN嘉泰大廈|Phase|Block,山村道CATHAY GDN嘉泰大廈|Phase|Block|12|B,跑馬地/黃泥涌,1967,53,CATHAY GDN嘉泰大廈,46-48 VILLAGE RD|山村道,46-48 VILLAGE RD,46-48 山村道,"嘉泰大廈,山村道","CATHAY GDN,VILLAGE RD","CATHAY GDN,VILLAGE RD|嘉泰大廈,山村道",VILLAGE RDblankCATHAY GDN嘉泰大廈|Phaseblank|Blockblank|12|Bconsid8.8,12,中,低層,南,四正,基本,業主減價 上車筍盤 歡迎約睇
16599,20070200470014,ASP,2020-06-22,RES,blank,1976/06,8.8,590,475,14915,18526,blank,blank,5731915,20070200470014,B,9.0,blank,blank,KAM YUK MANS,金毓大廈,blank,blank,YUK SAU ST,毓秀街,13,blank,HHV,IL3351RP,|KAM YUK MANS金毓大廈|Phase |Block ,毓秀街KAM YUK MANS金毓大廈|Phase|Block,毓秀街KAM YUK MANS金毓大廈|Phase|Block|9|B,跑馬地/黃泥涌,1976,44,KAM YUK MANS金毓大廈,13 YUK SAU ST|毓秀街,13 YUK SAU ST,13 毓秀街,"金毓大廈,毓秀街","KAM YUK MANS,YUK SAU ST","KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",YUK SAU STblankKAM YUK MANS金毓大廈|Phaseblank|Blockblank|9|Bconsid8.8,9,近乎零,中層,西北,呂字型,良好,單位實用四正 交通方便 配套完善
16492,20032000760040,ASP,2020-03-13,RES,blank,1989/06,8.84,590,476,14983,18571,blank,BW:24 SF (GU/NU) / ,5686531,20032000760040,B,12.0,blank,blank,JADE TERR,華翠臺,blank,blank,LINK RD,連道,3,blank,HHV,IL1946sAss1sA /,|JADE TERR華翠臺|Phase |Block ,連道JADE TERR華翠臺|Phase|Block,連道JADE TERR華翠臺|Phase|Block|12|B,跑馬地/黃泥涌,1989,31,JADE TERR華翠臺,3 LINK RD|連道,3 LINK RD,3 連道,"華翠臺,連道","JADE TERR,LINK RD","JADE TERR,LINK RD|華翠臺,連道",LINK RDblankJADE TERR華翠臺|Phaseblank|Blockblank|12|Bconsid8.84,12,低,高層,南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16407,19112600450014,ASP,2019-11-18,RES,blank,2016/09,8.85,0,355,0,24930,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5644965,19112600450014,C,12.0,blank,blank,REGENT HILL,壹鑾,blank,blank,LUN HING ST,聯興街,1,blank,HHV,IL2636RP /,|REGENT HILL壹鑾|Phase |Block ,聯興街REGENT HILL壹鑾|Phase|Block,聯興街REGENT HILL壹鑾|Phase|Block|12|C,跑馬地/黃泥涌,2016,4,REGENT HILL壹鑾,1 LUN HING ST|聯興街,1 LUN HING ST,1 聯興街,"壹鑾,聯興街","REGENT HILL,LUN HING ST","REGENT HILL,LUN HING ST|壹鑾,聯興街",LUN HING STblankREGENT HILL壹鑾|Phaseblank|Blockblank|12|Cconsid8.85,12,近乎零,中層,南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16619,20072001110019,ASP,2020-07-13,RES,blank,1982/03,8.85,698,450,12679,19667,blank,blank,5741759,20072001110019,B,12.0,blank,blank,MAY MANS,美華閣,blank,blank,SHAN KWONG RD,山光道,4,blank,HHV,IL2343sAss1RP /,|MAY MANS美華閣|Phase |Block ,山光道MAY MANS美華閣|Phase|Block,山光道MAY MANS美華閣|Phase|Block|12|B,跑馬地/黃泥涌,1982,38,MAY MANS美華閣,4 SHAN KWONG RD|山光道,4 SHAN KWONG RD,4 山光道,"美華閣,山光道","MAY MANS,SHAN KWONG RD","MAY MANS,SHAN KWONG RD|美華閣,山光道",SHAN KWONG RDblankMAY MANS美華閣|Phaseblank|Blockblank|12|Bconsid8.85,12,低,中層,西南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16563,20060801060128,ASP,2020-05-15,RES,blank,1977/01,8.88,750,525,11840,16914,blank,blank,5719184,20060801060128,A,5.0,blank,blank,SHAN SHING BLDG,山勝大廈,blank,blank,VILLAGE RD,山村道,18,20,HHV,IL2270sBss1RP /,|SHAN SHING BLDG山勝大廈|Phase |Block ,山村道SHAN SHING BLDG山勝大廈|Phase|Block,山村道SHAN SHING BLDG山勝大廈|Phase|Block|5|A,跑馬地/黃泥涌,1977,43,SHAN SHING BLDG山勝大廈,18-20 VILLAGE RD|山村道,18-20 VILLAGE RD,18-20 山村道,"山勝大廈,山村道","SHAN SHING BLDG,VILLAGE RD","SHAN SHING BLDG,VILLAGE RD|山勝大廈,山村道",VILLAGE RDblankSHAN SHING BLDG山勝大廈|Phaseblank|Blockblank|5|Aconsid8.88,5,低,低層,西南,沒資料,有,業主減價 上車筍盤 歡迎約睇
16359,19100800900018,ASP,2019-09-30,RES,blank,1976/09,8.93,654,575,13654,15530,blank,blank,5621645,19100800900018,C,11.0,blank,blank,YUK SING BLDG,毓成大廈,blank,blank,YUK SAU ST,毓秀街,1,9,HHV,IL8378,|YUK SING BLDG毓成大廈|Phase |Block ,毓秀街YUK SING BLDG毓成大廈|Phase|Block,毓秀街YUK SING BLDG毓成大廈|Phase|Block|11|C,跑馬地/黃泥涌,1976,44,YUK SING BLDG毓成大廈,1-9 YUK SAU ST|毓秀街,1-9 YUK SAU ST,1-9 毓秀街,"毓成大廈,毓秀街","YUK SING BLDG,YUK SAU ST","YUK SING BLDG,YUK SAU ST|毓成大廈,毓秀街",YUK SAU STblankYUK SING BLDG毓成大廈|Phaseblank|Blockblank|11|Cconsid8.93,11,近乎零,中層,西北,沒資料,良好,單位實用四正 交通方便 配套完善
16189,19051400720021,ASP,2019-05-03,RES,blank,1982/03,9.0,698,450,12894,20000,blank,blank,5542519,19051400720021,B,18.0,blank,blank,MAY MANS,美華閣,blank,blank,SHAN KWONG RD,山光道,4,blank,HHV,IL2343sAss1RP /,|MAY MANS美華閣|Phase |Block ,山光道MAY MANS美華閣|Phase|Block,山光道MAY MANS美華閣|Phase|Block|18|B,跑馬地/黃泥涌,1982,38,MAY MANS美華閣,4 SHAN KWONG RD|山光道,4 SHAN KWONG RD,4 山光道,"美華閣,山光道","MAY MANS,SHAN KWONG RD","MAY MANS,SHAN KWONG RD|美華閣,山光道",SHAN KWONG RDblankMAY MANS美華閣|Phaseblank|Blockblank|18|Bconsid9.0,18,低,中層,西南,呂字型,有,業主減價 上車筍盤 歡迎約睇
