,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_address,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
37765,19041100720063,ASP,2019-03-12,RES,blank,1987/01,3.8,305,258,12459,14729,blank,blank,5524272,19041100720063,B,4.0,blank,blank,BONITO CASA,太子臺,blank,blank,PRINCE'S TERR,太子臺,4,blank,HMW,IL151sB,|BONITO CASA太子臺|Phase |Block ,太子臺BONITO CASA太子臺|Phase|Block,太子臺BONITO CASA太子臺|Phase|Block|4|B,西半山,1987,33,BONITO CASA太子臺,4 PRINCE'S TERR,4 太子臺,4 PRINCE'S TERR|4 太子臺,"太子臺,太子臺","BONITO CASA,PRINCE'S TERR","BONITO CASA,PRINCE'S TERR|太子臺,太子臺",PRINCE'S TERRblankBONITO CASA太子臺|Phaseblank|Blockblank|4|Bconsid3.8,4,低,高層,西北,呂字型,基本,單位實用四正 交通方便 配套完善
38229,19111201610244,ASP,2019-10-30,RES,blank,2000/06,8.0,581,395,13769,20253,blank,BW:39 SF (GI/NE) / ,5638660,19111201610244,C,18.0,blank,blank,BELLA VISTA,蔚晴軒,blank,blank,YING FAI TERR,英輝臺,3,blank,HMW,IL4619 / IL4618 /,|BELLA VISTA蔚晴軒|Phase |Block ,英輝臺BELLA VISTA蔚晴軒|Phase|Block,英輝臺BELLA VISTA蔚晴軒|Phase|Block|18|C,西半山,2000,20,BELLA VISTA蔚晴軒,3 YING FAI TERR,3 英輝臺,3 YING FAI TERR|3 英輝臺,"蔚晴軒,英輝臺","BELLA VISTA,YING FAI TERR","BELLA VISTA,YING FAI TERR|蔚晴軒,英輝臺",YING FAI TERRblankBELLA VISTA蔚晴軒|Phaseblank|Blockblank|18|Cconsid8.0,18,很低,低層,東,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
37707,19032901500046,ASP,2019-03-08,RES,blank,1993/10,8.0,0,374,0,21390,blank,BW:25 SF (NE) / ,5517875,19032901500046,B,17.0,blank,blank,CHEERY GDN,時樂花園,blank,blank,BABINGTON PATH,巴丙頓道,6A,blank,HMW,IL609CsARP,|CHEERY GDN時樂花園|Phase |Block ,巴丙頓道CHEERY GDN時樂花園|Phase|Block,巴丙頓道CHEERY GDN時樂花園|Phase|Block|17|B,西半山,1993,27,CHEERY GDN時樂花園,6A BABINGTON PATH,6A 巴丙頓道,6A BABINGTON PATH|6A 巴丙頓道,"時樂花園,巴丙頓道","CHEERY GDN,BABINGTON PATH","CHEERY GDN,BABINGTON PATH|時樂花園,巴丙頓道",BABINGTON PATHblankCHEERY GDN時樂花園|Phaseblank|Blockblank|17|Bconsid8.0,17,低,高層,東,沒資料,良好,單位實用四正 交通方便 配套完善
37817,19042402370036,ASP,2019-04-08,RES,blank,1993/10,8.0,0,374,0,21390,blank,BW:25 SF (NE) / ,5531309,19042402370036,B,21.0,blank,blank,CHEERY GDN,時樂花園,blank,blank,BABINGTON PATH,巴丙頓道,6A,blank,HMW,IL609CsARP,|CHEERY GDN時樂花園|Phase |Block ,巴丙頓道CHEERY GDN時樂花園|Phase|Block,巴丙頓道CHEERY GDN時樂花園|Phase|Block|21|B,西半山,1993,27,CHEERY GDN時樂花園,6A BABINGTON PATH,6A 巴丙頓道,6A BABINGTON PATH|6A 巴丙頓道,"時樂花園,巴丙頓道","CHEERY GDN,BABINGTON PATH","CHEERY GDN,BABINGTON PATH|時樂花園,巴丙頓道",BABINGTON PATHblankCHEERY GDN時樂花園|Phaseblank|Blockblank|21|Bconsid8.0,21,低,高層,東南,四正,有,單位實用四正 交通方便 配套完善
38322,19121901830039,ASP,2019-12-12,RES,blank,1996/01,8.0,470,363,17021,22039,blank,BW:23 SF (GI/NE) / ,5654882,19121901830039,A,32.0,blank,blank,FAIRVIEW HTS,輝煌臺,blank,blank,SEYMOUR RD,西摩道,1,blank,HMW,IL27sCss1RP / IL27sCRP /,|FAIRVIEW HTS輝煌臺|Phase |Block ,西摩道FAIRVIEW HTS輝煌臺|Phase|Block,西摩道FAIRVIEW HTS輝煌臺|Phase|Block|32|A,西半山,1996,24,FAIRVIEW HTS輝煌臺,1 SEYMOUR RD,1 西摩道,1 SEYMOUR RD|1 西摩道,"輝煌臺,西摩道","FAIRVIEW HTS,SEYMOUR RD","FAIRVIEW HTS,SEYMOUR RD|輝煌臺,西摩道",SEYMOUR RDblankFAIRVIEW HTS輝煌臺|Phaseblank|Blockblank|32|Aconsid8.0,32,近乎零,低層,西,沒資料,良好,業主減價 上車筍盤 歡迎約睇
38710,20060800110030,ASP,2020-05-15,RES,blank,2000/05,8.0,571,395,14011,20253,blank,BW:29 SF (GI/NE) / ,5718838,20060800110030,B,7.0,blank,blank,BELLA VISTA,蔚晴軒,blank,blank,YING FAI TERR,英輝臺,3,blank,HMW,IL4619 / IL4618 /,|BELLA VISTA蔚晴軒|Phase |Block ,英輝臺BELLA VISTA蔚晴軒|Phase|Block,英輝臺BELLA VISTA蔚晴軒|Phase|Block|7|B,西半山,2000,20,BELLA VISTA蔚晴軒,3 YING FAI TERR,3 英輝臺,3 YING FAI TERR|3 英輝臺,"蔚晴軒,英輝臺","BELLA VISTA,YING FAI TERR","BELLA VISTA,YING FAI TERR|蔚晴軒,英輝臺",YING FAI TERRblankBELLA VISTA蔚晴軒|Phaseblank|Blockblank|7|Bconsid8.0,7,很低,中層,東南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38226,19111200810214,ASP,2019-11-06,RES,blank,1987/09,8.0,652,463,12270,17279,blank,BW:8 SF (GU/NU) / ,5638472,19111200810214,C,14.0,blank,blank,CAINE BLDG,廣堅大廈,blank,blank,CAINE RD,堅道,22,blank,HMW,IL1487RP,|CAINE BLDG廣堅大廈|Phase |Block ,堅道CAINE BLDG廣堅大廈|Phase|Block,堅道CAINE BLDG廣堅大廈|Phase|Block|14|C,西半山,1987,33,CAINE BLDG廣堅大廈,22 CAINE RD,22 堅道,22 CAINE RD|22 堅道,"廣堅大廈,堅道","CAINE BLDG,CAINE RD","CAINE BLDG,CAINE RD|廣堅大廈,堅道",CAINE RDblankCAINE BLDG廣堅大廈|Phaseblank|Blockblank|14|Cconsid8.0,14,低,中層,北,沒資料,基本,單位實用四正 交通方便 配套完善
38221,19110701700079,ASP,2019-10-31,RES,blank,2000/06,8.08,581,395,13907,20456,blank,BW:39 SF (GI/NE) / ,5636993,19110701700079,B,25.0,blank,blank,BELLA VISTA,蔚晴軒,blank,blank,YING FAI TERR,英輝臺,3,blank,HMW,IL4619 / IL4618 /,|BELLA VISTA蔚晴軒|Phase |Block ,英輝臺BELLA VISTA蔚晴軒|Phase|Block,英輝臺BELLA VISTA蔚晴軒|Phase|Block|25|B,西半山,2000,20,BELLA VISTA蔚晴軒,3 YING FAI TERR,3 英輝臺,3 YING FAI TERR|3 英輝臺,"蔚晴軒,英輝臺","BELLA VISTA,YING FAI TERR","BELLA VISTA,YING FAI TERR|蔚晴軒,英輝臺",YING FAI TERRblankBELLA VISTA蔚晴軒|Phaseblank|Blockblank|25|Bconsid8.08,25,很低,高層,西北,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38069,19072300480020,ASP,2019-07-12,RES,blank,1996/01,8.09,470,363,17213,22286,blank,BW:23 SF (GI/NE) / ,5585548,19072300480020,F,13.0,blank,blank,FAIRVIEW HTS,輝煌臺,blank,blank,SEYMOUR RD,西摩道,1,blank,HMW,IL27sCss1RP / IL27sCRP /,|FAIRVIEW HTS輝煌臺|Phase |Block ,西摩道FAIRVIEW HTS輝煌臺|Phase|Block,西摩道FAIRVIEW HTS輝煌臺|Phase|Block|13|F,西半山,1996,24,FAIRVIEW HTS輝煌臺,1 SEYMOUR RD,1 西摩道,1 SEYMOUR RD|1 西摩道,"輝煌臺,西摩道","FAIRVIEW HTS,SEYMOUR RD","FAIRVIEW HTS,SEYMOUR RD|輝煌臺,西摩道",SEYMOUR RDblankFAIRVIEW HTS輝煌臺|Phaseblank|Blockblank|13|Fconsid8.09,13,近乎零,低層,東,沒資料,基本,單位實用四正 交通方便 配套完善
38871,20072700610120,ASP,2020-07-20,RES,blank,1987/09,8.1,652,463,12423,17495,blank,BW:8 SF (GU/NU) / ,5745693,20072700610120,C,11.0,blank,blank,CAINE BLDG,廣堅大廈,blank,blank,CAINE RD,堅道,22,blank,HMW,IL1487RP,|CAINE BLDG廣堅大廈|Phase |Block ,堅道CAINE BLDG廣堅大廈|Phase|Block,堅道CAINE BLDG廣堅大廈|Phase|Block|11|C,西半山,1987,33,CAINE BLDG廣堅大廈,22 CAINE RD,22 堅道,22 CAINE RD|22 堅道,"廣堅大廈,堅道","CAINE BLDG,CAINE RD","CAINE BLDG,CAINE RD|廣堅大廈,堅道",CAINE RDblankCAINE BLDG廣堅大廈|Phaseblank|Blockblank|11|Cconsid8.1,11,低,低層,東北,四正,有,單位實用四正 交通方便 配套完善
37792,19041701530020,ASP,2019-04-10,RES,blank,1993/06,8.105,0,446,0,18173,blank,blank,5528290,19041701530020,C,11.0,blank,blank,ALL FIT GDN,百合苑,blank,blank,BONHAM RD,般咸道,20,22,HMW,IL605sFRP / IL605sGRP /,|ALL FIT GDN百合苑|Phase |Block ,般咸道ALL FIT GDN百合苑|Phase|Block,般咸道ALL FIT GDN百合苑|Phase|Block|11|C,西半山,1993,27,ALL FIT GDN百合苑,20-22 BONHAM RD,20-22 般咸道,20-22 BONHAM RD|20-22 般咸道,"百合苑,般咸道","ALL FIT GDN,BONHAM RD","ALL FIT GDN,BONHAM RD|百合苑,般咸道",BONHAM RDblankALL FIT GDN百合苑|Phaseblank|Blockblank|11|Cconsid8.105,11,低,低層,東北,呂字型,基本,業主減價 上車筍盤 歡迎約睇
37688,19032500560146,ASP,2019-03-07,RES,blank,1994/02,8.18,567,355,14427,23042,blank,BW:19 SF (GI/NE) / ,5514767,19032500560146,A,18.0,blank,blank,PARKSDALE,般柏苑,blank,blank,PARK RD,柏道,6A,blank,HMW,IL2036RP,|PARKSDALE般柏苑|Phase |Block ,柏道PARKSDALE般柏苑|Phase|Block,柏道PARKSDALE般柏苑|Phase|Block|18|A,西半山,1994,26,PARKSDALE般柏苑,6A PARK RD,6A 柏道,6A PARK RD|6A 柏道,"般柏苑,柏道","PARKSDALE,PARK RD","PARKSDALE,PARK RD|般柏苑,柏道",PARK RDblankPARKSDALE般柏苑|Phaseblank|Blockblank|18|Aconsid8.18,18,低,低層,南,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38706,20060500680038,ASP,2020-05-21,RES,blank,1986/06,8.2,531,411,15443,19951,blank,BW:9 SF (GU/NU) / ,5718203,20060500680038,A,22.0,blank,blank,WOODLAND COURT,福臨閣,blank,blank,WOODLANDS TERR,活倫臺,2,3,HMW,IL5540RP / IL5541RP,|WOODLAND COURT福臨閣|Phase |Block ,活倫臺WOODLAND COURT福臨閣|Phase|Block,活倫臺WOODLAND COURT福臨閣|Phase|Block|22|A,西半山,1986,34,WOODLAND COURT福臨閣,2-3 WOODLANDS TERR,2-3 活倫臺,2-3 WOODLANDS TERR|2-3 活倫臺,"福臨閣,活倫臺","WOODLAND COURT,WOODLANDS TERR","WOODLAND COURT,WOODLANDS TERR|福臨閣,活倫臺",WOODLANDS TERRblankWOODLAND COURT福臨閣|Phaseblank|Blockblank|22|Aconsid8.2,22,低,高層,西北,四正,有,單位實用四正 交通方便 配套完善
37879,19050801940012,ASP,2019-04-17,RES,blank,1981/01,8.2,520,430,15769,19070,blank,blank,5539611,19050801940012,B,2.0,blank,blank,GOLDEN PHOENIX COURT,金鳳閣,blank,blank,ST. STEPHEN'S LANE,聖士提反里,1,2,HMW,IL609BsDRP / IL609BsE,|GOLDEN PHOENIX COURT金鳳閣|Phase |Block ,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block|2|B,西半山,1981,39,GOLDEN PHOENIX COURT金鳳閣,1-2 ST. STEPHEN'S LANE,1-2 聖士提反里,1-2 ST. STEPHEN'S LANE|1-2 聖士提反里,"金鳳閣,聖士提反里","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里",ST. STEPHEN'S LANEblankGOLDEN PHOENIX COURT金鳳閣|Phaseblank|Blockblank|2|Bconsid8.2,2,低,中層,東南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38444,20022400890012,ASP,2020-02-14,RES,blank,2021/11,8.2165,0,283,0,29034,blank,BAL:22 SF (NI) / ,5677869,20022400890012,D,3.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|3|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|3|Dconsid8.2165,3,近乎零,中層,東北,呂字型,基本,單位實用四正 交通方便 配套完善
38111,19080700790018,ASP,2019-07-25,RES,blank,1995/01,8.246,641,419,12864,19680,blank,BW:11 SF (GI/NE) / ,5593613,19080700790018,C,5.0,blank,blank,PARK HTS,柏苑,blank,blank,BONHAM RD,般咸道,66,blank,HMW,IL760sARP / IL760sBRP,|PARK HTS柏苑|Phase |Block ,般咸道PARK HTS柏苑|Phase|Block,般咸道PARK HTS柏苑|Phase|Block|5|C,西半山,1995,25,PARK HTS柏苑,66 BONHAM RD,66 般咸道,66 BONHAM RD|66 般咸道,"柏苑,般咸道","PARK HTS,BONHAM RD","PARK HTS,BONHAM RD|柏苑,般咸道",BONHAM RDblankPARK HTS柏苑|Phaseblank|Blockblank|5|Cconsid8.246,5,低,低層,東南,四正,基本,單位實用四正 交通方便 配套完善
38766,20062200510021,ASP,2020-06-03,RES,blank,2021/03,8.2494,0,310,0,26611,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5727067,20062200510021,C,7.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|7|C,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|7|Cconsid8.2494,7,近乎零,低層,東,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38308,19121300570214,ASP,2019-11-25,RES,blank,1981/01,8.3,520,430,15962,19302,blank,blank,5652526,19121300570214,B,8.0,blank,blank,GOLDEN PHOENIX COURT,金鳳閣,blank,blank,ST. STEPHEN'S LANE,聖士提反里,1,2,HMW,IL609BsDRP / IL609BsE,|GOLDEN PHOENIX COURT金鳳閣|Phase |Block ,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block|8|B,西半山,1981,39,GOLDEN PHOENIX COURT金鳳閣,1-2 ST. STEPHEN'S LANE,1-2 聖士提反里,1-2 ST. STEPHEN'S LANE|1-2 聖士提反里,"金鳳閣,聖士提反里","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里",ST. STEPHEN'S LANEblankGOLDEN PHOENIX COURT金鳳閣|Phaseblank|Blockblank|8|Bconsid8.3,8,低,中層,東,呂字型,有,業主減價 上車筍盤 歡迎約睇
38283,19120201660012,ASP,2019-11-08,RES,blank,1991/09,8.3,636,470,13050,17660,blank,BW:7 SF (GI/NE) / ,5648313,19120201660012,B,4.0,blank,blank,LOSION VILLA,禮順苑,blank,blank,MOSQUE JUNCTION,摩羅廟交加街,8,blank,HMW,IL716RP / IL716sE/IL716sD,|LOSION VILLA禮順苑|Phase |Block ,摩羅廟交加街LOSION VILLA禮順苑|Phase|Block,摩羅廟交加街LOSION VILLA禮順苑|Phase|Block|4|B,西半山,1991,29,LOSION VILLA禮順苑,8 MOSQUE JUNCTION,8 摩羅廟交加街,8 MOSQUE JUNCTION|8 摩羅廟交加街,"禮順苑,摩羅廟交加街","LOSION VILLA,MOSQUE JUNCTION","LOSION VILLA,MOSQUE JUNCTION|禮順苑,摩羅廟交加街",MOSQUE JUNCTIONblankLOSION VILLA禮順苑|Phaseblank|Blockblank|4|Bconsid8.3,4,低,高層,西,呂字型,基本,業主減價 上車筍盤 歡迎約睇
38391,20021001110024,ASP,2020-01-30,RES,blank,2021/11,8.3181,0,283,0,29393,blank,BAL:22 SF (NI) / ,5672096,20021001110024,D,7.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|7|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|7|Dconsid8.3181,7,近乎零,高層,西,呂字型,良好,業主減價 上車筍盤 歡迎約睇
38640,20052001590105,ASP,2020-04-29,RES,blank,2012/09,8.38,437,296,19176,28311,blank,BW:31 SF (GI/NE) / ,5709310,20052001590105,B,11.0,blank,blank,GRAMERCY,臻環,blank,blank,CAINE RD,堅道,38,blank,HMW,IL150sAss4sARP /,|GRAMERCY臻環|Phase |Block ,堅道GRAMERCY臻環|Phase|Block,堅道GRAMERCY臻環|Phase|Block|11|B,西半山,2012,8,GRAMERCY臻環,38 CAINE RD,38 堅道,38 CAINE RD|38 堅道,"臻環,堅道","GRAMERCY,CAINE RD","GRAMERCY,CAINE RD|臻環,堅道",CAINE RDblankGRAMERCY臻環|Phaseblank|Blockblank|11|Bconsid8.38,11,近乎零,中層,東,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38607,20051300170012,ASP,2020-05-04,RES,blank,1986/07,8.38,602,470,13920,17830,blank,blank,5705529,20051300170012,A,2.0,blank,blank,YING FAI COURT,英輝閣,blank,blank,YING FAI TERR,英輝臺,1,blank,HMW,IL4620sARP /,|YING FAI COURT英輝閣|Phase |Block ,英輝臺YING FAI COURT英輝閣|Phase|Block,英輝臺YING FAI COURT英輝閣|Phase|Block|2|A,西半山,1986,34,YING FAI COURT英輝閣,1 YING FAI TERR,1 英輝臺,1 YING FAI TERR|1 英輝臺,"英輝閣,英輝臺","YING FAI COURT,YING FAI TERR","YING FAI COURT,YING FAI TERR|英輝閣,英輝臺",YING FAI TERRblankYING FAI COURT英輝閣|Phaseblank|Blockblank|2|Aconsid8.38,2,低,高層,北,呂字型,有,業主減價 上車筍盤 歡迎約睇
38392,20021001110030,ASP,2020-01-24,RES,blank,2021/11,8.413,0,283,0,29728,blank,BAL:22 SF (NI) / ,5672097,20021001110030,D,8.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|8|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|8|Dconsid8.413,8,近乎零,低層,東,沒資料,良好,業主減價 上車筍盤 歡迎約睇
38071,19072300850028,ASP,2019-07-15,RES,blank,1993/06,8.42,567,397,14850,21209,blank,BW:9 SF (GI/NE) / ,5585709,19072300850028,C,19.0,blank,blank,ALL FIT GDN,百合苑,blank,blank,BONHAM RD,般咸道,20,22,HMW,IL605sFRP / IL605sGRP /,|ALL FIT GDN百合苑|Phase |Block ,般咸道ALL FIT GDN百合苑|Phase|Block,般咸道ALL FIT GDN百合苑|Phase|Block|19|C,西半山,1993,27,ALL FIT GDN百合苑,20-22 BONHAM RD,20-22 般咸道,20-22 BONHAM RD|20-22 般咸道,"百合苑,般咸道","ALL FIT GDN,BONHAM RD","ALL FIT GDN,BONHAM RD|百合苑,般咸道",BONHAM RDblankALL FIT GDN百合苑|Phaseblank|Blockblank|19|Cconsid8.42,19,低,中層,北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38381,20020701330100,ASP,2020-01-30,RES,blank,2021/11,8.463,0,283,0,29905,blank,BAL:22 SF (NI) / ,5671823,20020701330100,D,11.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|11|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|11|Dconsid8.463,11,近乎零,高層,東,沒資料,有,單位實用四正 交通方便 配套完善
38774,20062201410140,ASP,2020-06-04,RES,blank,2021/03,8.475,0,310,0,27339,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5727263,20062201410140,C,6.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|6|C,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|6|Cconsid8.475,6,近乎零,低層,西,沒資料,良好,單位實用四正 交通方便 配套完善
37705,19032900550027,ASP,2019-03-18,RES,blank,1981/01,8.5,630,532,13492,15977,blank,blank,5517622,19032900550027,D,8.0,blank,blank,GOLDEN PHOENIX COURT,金鳳閣,blank,blank,ST. STEPHEN'S LANE,聖士提反里,1,2,HMW,IL609BsDRP / IL609BsE,|GOLDEN PHOENIX COURT金鳳閣|Phase |Block ,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block,聖士提反里GOLDEN PHOENIX COURT金鳳閣|Phase|Block|8|D,西半山,1981,39,GOLDEN PHOENIX COURT金鳳閣,1-2 ST. STEPHEN'S LANE,1-2 聖士提反里,1-2 ST. STEPHEN'S LANE|1-2 聖士提反里,"金鳳閣,聖士提反里","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE","GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里",ST. STEPHEN'S LANEblankGOLDEN PHOENIX COURT金鳳閣|Phaseblank|Blockblank|8|Dconsid8.5,8,低,低層,東,四正,基本,業主減價 上車筍盤 歡迎約睇
38000,19061400380150,ASP,2019-05-29,RES,blank,1987/09,8.5,652,463,13037,18359,blank,BW:8 SF (GU/NU) / ,5564857,19061400380150,D,19.0,blank,blank,CAINE BLDG,廣堅大廈,blank,blank,CAINE RD,堅道,22,blank,HMW,IL1487RP,|CAINE BLDG廣堅大廈|Phase |Block ,堅道CAINE BLDG廣堅大廈|Phase|Block,堅道CAINE BLDG廣堅大廈|Phase|Block|19|D,西半山,1987,33,CAINE BLDG廣堅大廈,22 CAINE RD,22 堅道,22 CAINE RD|22 堅道,"廣堅大廈,堅道","CAINE BLDG,CAINE RD","CAINE BLDG,CAINE RD|廣堅大廈,堅道",CAINE RDblankCAINE BLDG廣堅大廈|Phaseblank|Blockblank|19|Dconsid8.5,19,低,中層,南,沒資料,有,單位實用四正 交通方便 配套完善
38767,20062200510031,ASP,2020-06-04,RES,blank,2021/03,8.5286,0,310,0,27512,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5727068,20062200510031,C,9.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|9|C,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|9|Cconsid8.5286,9,近乎零,低層,西南,呂字型,良好,單位實用四正 交通方便 配套完善
38590,20050800660018,ASP,2020-05-04,RES,blank,2021/11,8.5634,0,261,0,32810,blank,FR:33 SF / ,5703757,20050800660018,D,2.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|2|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|2|Dconsid8.5634,2,近乎零,高層,西北,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38412,20021201800319,ASP,2020-01-30,RES,blank,2021/11,8.5672,0,283,0,30273,blank,BAL:22 SF (NI) / ,5673596,20021201800319,D,15.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|15|D,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|15|Dconsid8.5672,15,近乎零,中層,西,呂字型,良好,單位實用四正 交通方便 配套完善
