,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
8758,19040401300025,ASP,2019-03-06,RES,blank,2019/03,3.3292,0,445,0,7481,blank,blank,5521003,19040401300025,6,13.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|13|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|13|6consid3.3292,13
8759,19040401750079,ASP,2019-03-06,RES,blank,2019/03,3.3225,0,471,0,7054,blank,blank,5521127,19040401750079,5,3.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|3|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|3|5consid3.3225,3
8760,19040401790230,ASP,2019-03-12,RES,blank,2019/03,2.8053,0,380,0,7382,blank,blank,5521144,19040401790230,4,16.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|16|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|16|4consid2.8053,16
8761,19040401980017,ASP,2019-03-15,RES,blank,2006/11,6.7,501,371,13373,18059,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5521193,19040401980017,H,37.0,5,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 5,新碼頭街GRAND WATERFRONT|Phase|Block5,新碼頭街GRAND WATERFRONT|Phase|Block5|37|H,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣5座,新碼頭街","GRAND WATERFRONT(BLOCK 5),SAN MA TAU ST","GRAND WATERFRONT(Block 5),SAN MA TAU ST|翔龍灣5座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block5|37|Hconsid6.7,37
8762,19040402770080,ASP,2019-03-06,RES,blank,2019/03,3.3268,0,446,0,7459,blank,blank,5521516,19040402770080,7,12.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|12|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|12|7consid3.3268,12
8763,19040800200154,ASP,2019-03-21,RES,blank,2019/03,2.6887,0,380,0,7076,blank,blank,5521672,19040800200154,4,3.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|3|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|3|4consid2.6887,3
8764,19040800200166,ASP,2019-03-15,RES,blank,2019/03,2.744,0,384,0,7146,blank,blank,5521673,19040800200166,2,12.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|12|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|12|2consid2.744,12
8765,19040800200171,ASP,2019-03-14,RES,blank,2019/03,2.7155,0,380,0,7146,blank,blank,5521674,19040800200171,4,7.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|7|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|7|4consid2.7155,7
8766,19040801350020,ASP,2019-03-04,RES,blank,2019/03,3.5395,0,470,0,7531,blank,blank,5522052,19040801350020,2,21.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|21|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|21|2consid3.5395,21
8767,19040801550041,ASP,2019-03-22,RES,blank,2018/12,16.8057,0,639,0,26300,blank,BAL:25 SF (NI) / ,5522130,19040801550041,A,2.0,D,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block D,沐寧街OASIS KAI TAK|Phase|BlockD,沐寧街OASIS KAI TAK|Phase|BlockD|2|A,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blankD座,沐寧街","OASIS KAI TAK(BLOCK D),MUK NING ST","OASIS KAI TAK(Block D),MUK NING ST|blankD座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|BlockD|2|Aconsid16.8057,2
8768,19040900350031,ASP,2019-03-18,RES,blank,2006/11,18.3,1233,905,14842,20221,blank,BW:48 SF (GI/NE) / BAL:26 SF (GI/NI) / UP:16 SF (GI/NI) / ,5522375,19040900350031,F,58.0,6,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 6,新碼頭街GRAND WATERFRONT|Phase|Block6,新碼頭街GRAND WATERFRONT|Phase|Block6|58|F,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣6座,新碼頭街","GRAND WATERFRONT(BLOCK 6),SAN MA TAU ST","GRAND WATERFRONT(Block 6),SAN MA TAU ST|翔龍灣6座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block6|58|Fconsid18.3,58
8769,19040902290113,ASP,2019-03-15,RES,blank,2019/03,2.8360000000000003,0,385,0,7366,blank,blank,5522981,19040902290113,4,15.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|15|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|15|4consid2.8360000000000003,15
8770,19041000140330,ASP,2019-03-21,RES,blank,2019/03,2.7123,0,384,0,7063,blank,blank,5523148,19041000140330,2,9.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|9|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|9|2consid2.7123,9
8771,19041000890102,ASP,2019-03-22,RES,blank,2018/12,27.69,0,923,0,30000,+STAIRHOOD:59 SF                                                                ,BAL:30 SF (NI) / FR:22 SF / RF:291 SF / ,5523402,19041000890102,C,5.0,D,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block D,沐寧街OASIS KAI TAK|Phase|BlockD,沐寧街OASIS KAI TAK|Phase|BlockD|5|C,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blankD座,沐寧街","OASIS KAI TAK(BLOCK D),MUK NING ST","OASIS KAI TAK(Block D),MUK NING ST|blankD座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|BlockD|5|Cconsid27.69,5
8772,19041000950014,ASP,2019-03-11,RES,blank,2019/03,2.8916,0,384,0,7530,blank,blank,5523424,19041000950014,3,22.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|22|3,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|22|3consid2.8916,22
8773,19041000950020,ASP,2019-03-13,RES,blank,2019/03,2.7585,0,380,0,7259,blank,blank,5523425,19041000950020,4,22.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|22|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|22|4consid2.7585,22
8774,19041001980205,ASP,2019-03-27,RES,blank,2019/03,2.5267,0,384,0,6580,blank,blank,5523702,19041001980205,2,2.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|2|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|2|2consid2.5267,2
8775,19041002010027,ASP,2019-03-22,RES,blank,2018/12,16.9974,0,639,0,26600,blank,BAL:25 SF (NI) / ,5523948,19041002010027,A,3.0,D,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block D,沐寧街OASIS KAI TAK|Phase|BlockD,沐寧街OASIS KAI TAK|Phase|BlockD|3|A,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blankD座,沐寧街","OASIS KAI TAK(BLOCK D),MUK NING ST","OASIS KAI TAK(Block D),MUK NING ST|blankD座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|BlockD|3|Aconsid16.9974,3
8776,19041002300201,ASP,2019-04-09,RES,blank,2019/03,2.0681,0,286,0,7231,blank,blank,5523839,19041002300201,11,13.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|13|11,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|13|11consid2.0681,13
8777,19041100200086,ASP,2019-04-03,RES,blank,2019/03,2.1593,0,287,0,7524,blank,blank,5523995,19041100200086,8,19.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|19|8,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|19|8consid2.1593,19
8778,19041100430014,ASP,2019-03-25,RES,blank,2019/03,2.7464,0,384,0,7152,blank,blank,5524132,19041100430014,1,16.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|16|1,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|16|1consid2.7464,16
8779,19041101060027,ASP,2019-04-08,RES,blank,2019/03,2.1497,0,286,0,7516,blank,blank,5524352,19041101060027,9,25.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|25|9,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|25|9consid2.1497,25
8780,19041201440065,ASP,2019-03-28,RES,blank,2019/03,2.1411,0,286,0,7486,blank,blank,5525211,19041201440065,11,24.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|24|11,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|24|11consid2.1411,24
8781,19041201770060,ASP,2019-03-13,RES,blank,2019/03,2.9155,0,385,0,7573,blank,blank,5525305,19041201770060,4,25.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|25|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|25|4consid2.9155,25
8782,19041201850024,ASP,2019-04-01,RES,blank,2019/03,2.1916,0,287,0,7636,blank,blank,5525367,19041201850024,8,25.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|25|8,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|25|8consid2.1916,25
8783,19041201940017,ASP,2019-03-11,RES,blank,2019/03,2.9337,0,469,0,6255,blank,blank,5525456,19041201940017,3,1.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|1|3,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|1|3consid2.9337,1
8784,19041202630106,ASP,2019-03-15,RES,blank,2019/03,2.7236,0,384,0,7093,blank,blank,5525751,19041202630106,2,10.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|10|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|10|2consid2.7236,10
8785,19041500730226,ASP,2019-04-10,RES,blank,2006/11,6.82,501,371,13613,18383,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5526073,19041500730226,A,27.0,3,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 3,新碼頭街GRAND WATERFRONT|Phase|Block3,新碼頭街GRAND WATERFRONT|Phase|Block3|27|A,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣3座,新碼頭街","GRAND WATERFRONT(BLOCK 3),SAN MA TAU ST","GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block3|27|Aconsid6.82,27
8786,19041502170143,ASP,2019-04-04,RES,blank,2019/03,2.0817,0,286,0,7279,blank,blank,5526625,19041502170143,11,15.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|15|11,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|15|11consid2.0817,15
8787,19041600460059,ASP,2019-03-19,RES,blank,2019/03,2.7156,0,380,0,7146,blank,blank,5526979,19041600460059,4,4.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|4|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|4|4consid2.7156,4
8788,19041600720011,ASP,2019-03-05,RES,blank,2019/03,3.3779,0,456,0,7408,blank,blank,5527111,19041600720011,7,28.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|28|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|28|7consid3.3779,28
8789,19041700150487,ASP,2019-04-01,RES,blank,2019/03,2.1328,0,286,0,7457,blank,blank,5527873,19041700150487,12,25.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|25|12,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|25|12consid2.1328,25
8790,19041700150505,ASP,2019-04-04,RES,blank,2019/03,2.0749,0,286,0,7255,blank,blank,5527875,19041700150505,11,14.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|14|11,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|14|11consid2.0749,14
8791,19041702400258,ASP,2019-03-22,RES,blank,2006/11,14.8,1099,815,13467,18160,blank,BW:33 SF (GI/NE) / BAL:23 SF (GI/NI) / UP:16 SF (GI/NI) / ,5528709,19041702400258,F,60.0,3,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 3,新碼頭街GRAND WATERFRONT|Phase|Block3,新碼頭街GRAND WATERFRONT|Phase|Block3|60|F,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣3座,新碼頭街","GRAND WATERFRONT(BLOCK 3),SAN MA TAU ST","GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block3|60|Fconsid14.8,60
8792,19041800190260,ASP,2019-03-25,RES,blank,2019/03,2.6445,0,384,0,6887,blank,blank,5528847,19041800190260,2,6.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|6|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|6|2consid2.6445,6
8793,19041800400061,ASP,2019-03-20,RES,blank,2019/03,2.7349,0,384,0,7122,blank,blank,5528924,19041800400061,2,11.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|11|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|11|2consid2.7349,11
8794,19041801810012,ASP,2019-04-01,RES,blank,2018/12,26.928,0,797,0,33787,blank,BAL:27 SF (NI) / ,5529283,19041801810012,A,21.0,1,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block 1,沐寧街OASIS KAI TAK|Phase|Block1,沐寧街OASIS KAI TAK|Phase|Block1|21|A,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blank1座,沐寧街","OASIS KAI TAK(BLOCK 1),MUK NING ST","OASIS KAI TAK(Block 1),MUK NING ST|blank1座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|Block1|21|Aconsid26.928,21
