,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
42259,19011100460058,ASP,2019-01-04,RES,blank,2000/12,4.38,854,650,5129,6738,blank,blank,5483295,19011100460058,1,39.0,O,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block O,天秀路TIN FU COURT|Phase2|BlockO,天秀路TIN FU COURT|Phase2|BlockO|39|1,天水圍,2000,20,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑O座,天秀路","TIN FU COURT(BLOCK O),TIN SAU RD","TIN FU COURT(Block O),TIN SAU RD|天富苑O座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockO|39|1consid4.38,39
43180,19111902140164,ASP,2019-10-22,RES,blank,1991/12,5.8,814,640,7125,9062,blank,blank,5641753,19111902140164,B,9.0,2,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 2,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block2,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block2|9|B,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block2|9|Bconsid5.8,9
43181,19111902180283,ASP,2019-10-30,RES,blank,1995/09,6.3,709,556,8886,11331,blank,BW:39 SF (GI/NE) / ,5641785,19111902180283,D,33.0,12,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 12,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block12,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block12|33|D,天水圍,1995,25,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block12|33|Dconsid6.3,33
43182,19112000240089,ASP,2019-11-19,RES,blank,1995/09,5.5,709,556,7757,9892,blank,BW:39 SF (GI/NE) / ,5641899,19112000240089,G,26.0,14,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 14,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block14,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block14|26|G,天水圍,1995,25,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block14|26|Gconsid5.5,26
43183,19112000720054,ASP,2019-11-08,RES,blank,1996/02,5.6,709,556,7898,10072,blank,BW:39 SF (GI/NE) / ,5642052,19112000720054,C,6.0,9,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 9,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block9,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block9|6|C,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block9|6|Cconsid5.6,6
43184,19112001170013,ASP,2019-10-12,RES,blank,1993/09,5.0,705,557,7092,8977,blank,BW:39 SF (GI/NE) / ,5642119,19112001170013,C,26.0,5,blank,CHESTWOOD COURT,翠湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN SHUI RD,天瑞路,8,blank,NTSW,TSWTL3RP,KINGSWOOD VILLAS|CHESTWOOD COURT翠湖居|Phase |Block 5,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block5,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block5|26|C,天水圍,1993,27,CHESTWOOD COURT翠湖居,8 TIN SHUI RD|天瑞路,8 TIN SHUI RD,8 天瑞路,"翠湖居,嘉湖山莊,天瑞路","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD|翠湖居,嘉湖山莊,天瑞路",TIN SHUI RDKINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phaseblank|Block5|26|Cconsid5.0,26
43185,19112001730010,ASP,2019-10-31,RES,blank,1991/12,5.568,708,557,7864,9996,blank,BW:43 SF (GI/NE) / ,5642255,19112001730010,G,14.0,6,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 6,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block6,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block6|14|G,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block6|14|Gconsid5.568,14
43187,19112001770041,ASP,2019-11-06,RES,blank,1994/12,5.9,709,556,8322,10612,blank,BW:39 SF (GI/NE) / ,5642269,19112001770041,C,3.0,7,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 7,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block7,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block7|3|C,天水圍,1994,26,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block7|3|Cconsid5.9,3
43188,19112002170073,ASP,2019-11-08,RES,blank,1997/12,5.0,584,457,8562,10941,blank,BW:31 SF (GI/NE) / ,5642442,19112002170073,E,11.0,4,blank,MAYWOOD COURT,美湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,9,blank,NTSW,TSWTL6,KINGSWOOD VILLAS|MAYWOOD COURT美湖居|Phase |Block 4,天龍路KINGSWOOD VILLASMAYWOOD COURT美湖居|Phase|Block4,天龍路KINGSWOOD VILLASMAYWOOD COURT美湖居|Phase|Block4|11|E,天水圍,1997,23,MAYWOOD COURT美湖居,9 TIN LUNG RD|天龍路,9 TIN LUNG RD,9 天龍路,"美湖居,嘉湖山莊,天龍路","MAYWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","MAYWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|美湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASMAYWOOD COURT美湖居|Phaseblank|Block4|11|Econsid5.0,11
43189,19112100250056,ASP,2019-10-30,RES,blank,1991/12,5.8,708,561,8192,10339,blank,blank,5642537,19112100250056,H,10.0,2,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 2,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block2,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block2|10|H,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block2|10|Hconsid5.8,10
43190,19112101030029,ASP,2019-11-08,RES,blank,1995/09,5.0,581,457,8606,10941,blank,BW:31 SF (GI/NE) / ,5642738,19112101030029,E,28.0,14,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 14,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block14,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block14|28|E,天水圍,1995,25,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block14|28|Econsid5.0,28
43191,19112101630027,ASP,2019-10-30,RES,blank,1993/03,5.34,708,557,7542,9587,blank,BW:43 SF (GI/NE) / ,5642831,19112101630027,G,6.0,6,blank,SHERWOOD COURT,賞湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,3,blank,NTSW,TSWTL2RP,KINGSWOOD VILLAS|SHERWOOD COURT賞湖居|Phase |Block 6,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block6,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block6|6|G,天水圍,1993,27,SHERWOOD COURT賞湖居,3 TIN WU RD|天湖路,3 TIN WU RD,3 天湖路,"賞湖居,嘉湖山莊,天湖路","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|賞湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASSHERWOOD COURT賞湖居|Phaseblank|Block6|6|Gconsid5.34,6
43193,19112101850102,ASP,2019-11-08,RES,blank,1996/02,5.86,709,556,8265,10540,blank,BW:39 SF (GI/NE) / ,5642908,19112101850102,G,22.0,6,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 6,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block6,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block6|22|G,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block6|22|Gconsid5.86,22
43194,19112101850127,ASP,2019-11-08,RES,blank,1994/12,5.53,709,556,7800,9946,blank,BW:39 SF (GI/NE) / ,5642910,19112101850127,H,24.0,4,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 4,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block4,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block4|24|H,天水圍,1994,26,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block4|24|Hconsid5.53,24
43195,19112101910021,ASP,2019-11-08,RES,blank,1994/12,6.18,820,648,7537,9537,blank,BW:40 SF (GI/NE) / ,5642954,19112101910021,A,26.0,1,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 1,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block1,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block1|26|A,天水圍,1994,26,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block1|26|Aconsid6.18,26
43196,19112101980070,ASP,2019-11-15,RES,blank,2007/11,5.938,648,497,9164,11948,blank,BW:19 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5642973,19112101980070,A,50.0,6,1,blank,blank,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS||Phase 1|Block 6,天恩路CENTRAL PARK TOWERS|Phase1|Block6,天恩路CENTRAL PARK TOWERS|Phase1|Block6|50|A,天水圍,2007,13,blankblank,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪園6座,天恩路","CENTRAL PARK TOWERS(BLOCK 6),TIN YAN RD","CENTRAL PARK TOWERS(Block 6),TIN YAN RD|柏慧豪園6座,天恩路",TIN YAN RDCENTRAL PARK TOWERSblankblank|Phase1|Block6|50|Aconsid5.938,50
43197,19112102080023,ASP,2019-11-15,RES,blank,1993/03,6.07,714,558,8501,10878,blank,BW:47 SF (GI/NE) / RF:635 SF / ,5643084,19112102080023,D,35.0,1,blank,SHERWOOD COURT,賞湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,3,blank,NTSW,TSWTL2RP,KINGSWOOD VILLAS|SHERWOOD COURT賞湖居|Phase |Block 1,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block1,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block1|35|D,天水圍,1993,27,SHERWOOD COURT賞湖居,3 TIN WU RD|天湖路,3 TIN WU RD,3 天湖路,"賞湖居,嘉湖山莊,天湖路","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|賞湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASSHERWOOD COURT賞湖居|Phaseblank|Block1|35|Dconsid6.07,35
43199,19112102280031,ASP,2019-11-08,RES,blank,2000/02,4.05,724,539,5594,7514,blank,blank,5643159,19112102280031,4,6.0,D,1,SHING YIN HSE,盛賢閣,TIN SHING COURT,天盛苑,TIN CHING ST,天靖街,3,blank,NTSW,TSWTL17RP,TIN SHING COURT|SHING YIN HSE盛賢閣|Phase 1|Block D,天靖街TIN SHING COURTSHING YIN HSE盛賢閣|Phase1|BlockD,天靖街TIN SHING COURTSHING YIN HSE盛賢閣|Phase1|BlockD|6|4,天水圍,2000,20,SHING YIN HSE盛賢閣,3 TIN CHING ST|天靖街,3 TIN CHING ST,3 天靖街,"盛賢閣,天盛苑,天靖街","SHING YIN HSE,TIN SHING COURT,TIN CHING ST","SHING YIN HSE,TIN SHING COURT,TIN CHING ST|盛賢閣,天盛苑,天靖街",TIN CHING STTIN SHING COURTSHING YIN HSE盛賢閣|Phase1|BlockD|6|4consid4.05,6
43200,19112201250013,ASP,2019-11-08,RES,blank,1996/02,5.0,581,457,8606,10941,blank,BW:31 SF (GI/NE) / ,5643577,19112201250013,E,17.0,3,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 3,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block3,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block3|17|E,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block3|17|Econsid5.0,17
43201,19112201930106,ASP,2019-10-30,RES,blank,1993/03,5.34,708,561,7542,9519,blank,BW:38 SF (GI/NE) / ,5643742,19112201930106,H,6.0,6,blank,SHERWOOD COURT,賞湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,3,blank,NTSW,TSWTL2RP,KINGSWOOD VILLAS|SHERWOOD COURT賞湖居|Phase |Block 6,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block6,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block6|6|H,天水圍,1993,27,SHERWOOD COURT賞湖居,3 TIN WU RD|天湖路,3 TIN WU RD,3 天湖路,"賞湖居,嘉湖山莊,天湖路","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|賞湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASSHERWOOD COURT賞湖居|Phaseblank|Block6|6|Hconsid5.34,6
43202,19112201940234,ASP,2019-11-08,RES,blank,1996/02,5.75,709,556,8110,10342,blank,BW:39 SF (GI/NE) / ,5643768,19112201940234,G,19.0,2,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 2,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block2,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block2|19|G,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block2|19|Gconsid5.75,19
43203,19112202420237,ASP,2019-10-29,RES,blank,1996/02,5.7,709,556,8039,10252,blank,BW:39 SF (GI/NE) / ,5643934,19112202420237,C,36.0,6,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 6,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block6,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block6|36|C,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block6|36|Cconsid5.7,36
43204,19112202420253,ASP,2019-11-06,RES,blank,1995/09,6.06,815,651,7436,9309,blank,BW:32 SF (GI/NE) / ,5643936,19112202420253,A,5.0,9,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 9,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block9,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block9|5|A,天水圍,1995,25,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block9|5|Aconsid6.06,5
43205,19112202420285,ASP,2019-10-25,RES,blank,2000/03,3.95,722,539,5471,7328,blank,blank,5643938,19112202420285,5,11.0,O,3,CHUNG KI HSE,頌棋閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG KI HSE頌棋閣|Phase 3|Block O,天榮路TIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO,天榮路TIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO|11|5,天水圍,2000,20,CHUNG KI HSE頌棋閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌棋閣,天頌苑,天榮路","CHUNG KI HSE,TIN CHUNG COURT,TIN WING RD","CHUNG KI HSE,TIN CHUNG COURT,TIN WING RD|頌棋閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO|11|5consid3.95,11
43206,19112202420301,ASP,2019-11-12,RES,blank,2000/03,4.238,673,510,6297,8310,blank,blank,5643939,19112202420301,4,29.0,G,3,SHING WUI HSE,盛匯閣,TIN SHING COURT,天盛苑,TIN CHING ST,天靖街,3,blank,NTSW,TSWTL17RP,TIN SHING COURT|SHING WUI HSE盛匯閣|Phase 3|Block G,天靖街TIN SHING COURTSHING WUI HSE盛匯閣|Phase3|BlockG,天靖街TIN SHING COURTSHING WUI HSE盛匯閣|Phase3|BlockG|29|4,天水圍,2000,20,SHING WUI HSE盛匯閣,3 TIN CHING ST|天靖街,3 TIN CHING ST,3 天靖街,"盛匯閣,天盛苑,天靖街","SHING WUI HSE,TIN SHING COURT,TIN CHING ST","SHING WUI HSE,TIN SHING COURT,TIN CHING ST|盛匯閣,天盛苑,天靖街",TIN CHING STTIN SHING COURTSHING WUI HSE盛匯閣|Phase3|BlockG|29|4consid4.238,29
43207,19112501260684,ASP,2019-11-01,RES,blank,2010/07,6.08,673,512,9034,11875,blank,BW:23 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5644466,19112501260684,G,41.0,9,2,CENTRAL PARK TOWERS II,柏慧豪廷,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS|CENTRAL PARK TOWERS II柏慧豪廷|Phase 2|Block 9,天恩路CENTRAL PARK TOWERSCENTRAL PARK TOWERS II柏慧豪廷|Phase2|Block9,天恩路CENTRAL PARK TOWERSCENTRAL PARK TOWERS II柏慧豪廷|Phase2|Block9|41|G,天水圍,2010,10,CENTRAL PARK TOWERS II柏慧豪廷,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪廷,柏慧豪園,天恩路","CENTRAL PARK TOWERS II,CENTRAL PARK TOWERS,TIN YAN RD","CENTRAL PARK TOWERS II,CENTRAL PARK TOWERS,TIN YAN RD|柏慧豪廷,柏慧豪園,天恩路",TIN YAN RDCENTRAL PARK TOWERSCENTRAL PARK TOWERS II柏慧豪廷|Phase2|Block9|41|Gconsid6.08,41
43208,19112501260698,ASP,2019-11-01,RES,blank,1996/02,5.68,709,556,8011,10216,blank,BW:39 SF (GI/NE) / ,5644467,19112501260698,G,17.0,10,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 10,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block10,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block10|17|G,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block10|17|Gconsid5.68,17
