,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
94794,19010800220010,ASP,2019-01-02,RES,blank,2002/04,6.2,673,509,9212,12181,blank,BW:33 SF (GI/NE) / ,5481144,19010800220010,F,6.0,10,blank,blank,blank,THE PARCVILLE,采葉庭,YUEN LONG KAU HUI RD,元朗舊墟路,33,blank,NYL,YLTL506,THE PARCVILLE||Phase |Block 10,元朗舊墟路THE PARCVILLE|Phase|Block10,元朗舊墟路THE PARCVILLE|Phase|Block10|6|F,元朗,2002,18,blankblank,33 YUEN LONG KAU HUI RD|元朗舊墟路,33 YUEN LONG KAU HUI RD,33 元朗舊墟路,"采葉庭10座,元朗舊墟路","THE PARCVILLE(BLOCK 10),YUEN LONG KAU HUI RD","THE PARCVILLE(Block 10),YUEN LONG KAU HUI RD|采葉庭10座,元朗舊墟路",YUEN LONG KAU HUI RDTHE PARCVILLEblankblank|Phaseblank|Block10|6|Fconsid6.2,6,中層,南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96238,19052201220015,ASP,2019-04-26,RES,blank,2013/10,6.0,0,443,0,13544,blank,BW:23 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5548892,19052201220015,G,15.0,3,blank,blank,blank,THE REACH,尚悅,SHAP PAT HEUNG RD,十八鄉路,11,blank,NYL,YLTL526RP,THE REACH||Phase |Block 3,十八鄉路THE REACH|Phase|Block3,十八鄉路THE REACH|Phase|Block3|15|G,元朗,2013,7,blankblank,11 SHAP PAT HEUNG RD|十八鄉路,11 SHAP PAT HEUNG RD,11 十八鄉路,"尚悅3座,十八鄉路","THE REACH(BLOCK 3),SHAP PAT HEUNG RD","THE REACH(Block 3),SHAP PAT HEUNG RD|尚悅3座,十八鄉路",SHAP PAT HEUNG RDTHE REACHblankblank|Phaseblank|Block3|15|Gconsid6.0,15,中層,北,四正,有,單位實用四正 交通方便 配套完善
96239,19052201300017,ASP,2019-04-29,RES,blank,1985/05,4.3,440,325,9773,13231,blank,BW:36 SF (GU/NU) / FR:962 SF / ,5548917,19052201300017,2,1.0,B,blank,blank,blank,HO SHUN KING BLDG,好順景大廈,FUNG YAU ST S,鳳攸南街,3,blank,NYL,YLTL332,HO SHUN KING BLDG||Phase |Block B,鳳攸南街HO SHUN KING BLDG|Phase|BlockB,鳳攸南街HO SHUN KING BLDG|Phase|BlockB|1|2,元朗,1985,35,blankblank,3 FUNG YAU ST S|鳳攸南街,3 FUNG YAU ST S,3 鳳攸南街,"好順景大廈B座,鳳攸南街","HO SHUN KING BLDG(BLOCK B),FUNG YAU ST S","HO SHUN KING BLDG(Block B),FUNG YAU ST S|好順景大廈B座,鳳攸南街",FUNG YAU ST SHO SHUN KING BLDGblankblank|Phaseblank|BlockB|1|2consid4.3,1,高層,東北,沒資料,良好,業主減價 上車筍盤 歡迎約睇
96240,19052201400256,ASP,2019-05-08,RES,blank,2004/09,7.1,544,426,13051,16667,blank,BW:12 SF (GI/NE) / BAL:21 SF (GI/NI) / ,5548947,19052201400256,E,31.0,9,blank,blank,blank,YOHO TOWN,新時代廣場,YUEN LUNG ST,元龍街,8,blank,NYL,YLTL503RP&EXT,YOHO TOWN||Phase |Block 9,元龍街YOHO TOWN|Phase|Block9,元龍街YOHO TOWN|Phase|Block9|31|E,元朗,2004,16,blankblank,8 YUEN LUNG ST|元龍街,8 YUEN LUNG ST,8 元龍街,"新時代廣場9座,元龍街","YOHO TOWN(BLOCK 9),YUEN LUNG ST","YOHO TOWN(Block 9),YUEN LUNG ST|新時代廣場9座,元龍街",YUEN LUNG STYOHO TOWNblankblank|Phaseblank|Block9|31|Econsid7.1,31,高層,東南,沒資料,基本,單位實用四正 交通方便 配套完善
96241,19052201480045,ASP,2019-05-14,RES,blank,2011/05,9.4,1247,951,7538,9884,blank,BW:40 SF (GI/NE) / BAL:26 SF (GI/NI) / UP:16 SF (GI/NI) / ,5548974,19052201480045,A,7.0,1,blank,blank,blank,UPTOWN,尚城,CASTLE PEAK RD HUNG SHUI KIU,青山公路洪水橋段,600,blank,NYL,DD121LOT2064RP,UPTOWN||Phase |Block 1,青山公路洪水橋段UPTOWN|Phase|Block1,青山公路洪水橋段UPTOWN|Phase|Block1|7|A,元朗,2011,9,blankblank,600 CASTLE PEAK RD HUNG SHUI KIU|青山公路洪水橋段,600 CASTLE PEAK RD HUNG SHUI KIU,600 青山公路洪水橋段,"尚城1座,青山公路洪水橋段","UPTOWN(BLOCK 1),CASTLE PEAK RD HUNG SHUI KIU","UPTOWN(Block 1),CASTLE PEAK RD HUNG SHUI KIU|尚城1座,青山公路洪水橋段",CASTLE PEAK RD HUNG SHUI KIUUPTOWNblankblank|Phaseblank|Block1|7|Aconsid9.4,7,高層,東北,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96242,19052201750022,ASP,2019-05-15,RES,blank,1994/01,6.25,673,512,9287,12207,blank,blank,5549152,19052201750022,D,12.0,blank,blank,PROSPER CTR,興隆中心,blank,blank,SAU FU ST,壽富街,29,blank,NYL,YLTL479,|PROSPER CTR興隆中心|Phase |Block ,壽富街PROSPER CTR興隆中心|Phase|Block,壽富街PROSPER CTR興隆中心|Phase|Block|12|D,元朗,1994,26,PROSPER CTR興隆中心,29 SAU FU ST|壽富街,29 SAU FU ST,29 壽富街,"興隆中心,壽富街","PROSPER CTR,SAU FU ST","PROSPER CTR,SAU FU ST|興隆中心,壽富街",SAU FU STblankPROSPER CTR興隆中心|Phaseblank|Blockblank|12|Dconsid6.25,12,高層,東,呂字型,有,單位實用四正 交通方便 配套完善
96243,19052201750040,ASP,2019-05-08,RES,blank,2020/09,5.6687,0,381,0,14878,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5549154,19052201750040,K,3.0,2,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|3|K,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|3|Kconsid5.6687,3,中層,西南,沒資料,有,單位實用四正 交通方便 配套完善
96244,19052202010011,ASP,2019-05-10,RES,blank,2019/10,12.3262,0,826,0,14923,blank,BAL:31 SF (NI) / UP:18 SF (NI) / ,5549267,19052202010011,A,12.0,27B,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 27B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27B|12|A,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block27B|12|Aconsid12.3262,12,中層,西南,呂字型,有,單位實用四正 交通方便 配套完善
96245,19052202200029,ASP,2019-04-26,RES,blank,2001/09,5.98,651,481,9186,12432,blank,BW:37 SF (GI/NE) / ,5549320,19052202200029,F,12.0,7,1,blank,blank,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99,blank,NYL,YLTL500,SERENO VERDE||Phase 1|Block 7,大棠路SERENO VERDE|Phase1|Block7,大棠路SERENO VERDE|Phase1|Block7|12|F,元朗,2001,19,blankblank,99 TAI TONG RD|大棠路,99 TAI TONG RD,99 大棠路,"蝶翠峰7座,大棠路","SERENO VERDE(BLOCK 7),TAI TONG RD","SERENO VERDE(Block 7),TAI TONG RD|蝶翠峰7座,大棠路",TAI TONG RDSERENO VERDEblankblank|Phase1|Block7|12|Fconsid5.98,12,低層,南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96246,19052202260294,ASP,2019-05-06,RES,blank,2019/09,8.6232,0,533,0,16179,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5549359,19052202260294,F,17.0,1,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 1,媽橫路SOL CITY|Phase|Block1,媽橫路SOL CITY|Phase|Block1|17|F,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙1座,媽橫路","SOL CITY(BLOCK 1),MA WANG RD","SOL CITY(Block 1),MA WANG RD|朗城滙1座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block1|17|Fconsid8.6232,17,中層,北,四正,基本,單位實用四正 交通方便 配套完善
96247,19052202390011,ASP,2019-05-06,RES,blank,2019/09,11.9238,0,690,0,17281,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5549489,19052202390011,H,32.0,3,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 3,媽橫路SOL CITY|Phase|Block3,媽橫路SOL CITY|Phase|Block3|32|H,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙3座,媽橫路","SOL CITY(BLOCK 3),MA WANG RD","SOL CITY(Block 3),MA WANG RD|朗城滙3座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block3|32|Hconsid11.9238,32,低層,東,沒資料,有,單位實用四正 交通方便 配套完善
96248,19052202390037,ASP,2019-05-09,RES,blank,2019/09,8.4218,0,496,0,16979,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5549490,19052202390037,D,23.0,1,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 1,媽橫路SOL CITY|Phase|Block1,媽橫路SOL CITY|Phase|Block1|23|D,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙1座,媽橫路","SOL CITY(BLOCK 1),MA WANG RD","SOL CITY(Block 1),MA WANG RD|朗城滙1座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block1|23|Dconsid8.4218,23,中層,西北,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96249,19052202490010,ASP,2019-05-16,RES,blank,2013/10,5.245,0,358,0,14651,blank,BW:29 SF (NE) / UP:16 SF (NI) / ,5549580,19052202490010,F,27.0,3,blank,blank,blank,THE REACH,尚悅,SHAP PAT HEUNG RD,十八鄉路,11,blank,NYL,YLTL526RP,THE REACH||Phase |Block 3,十八鄉路THE REACH|Phase|Block3,十八鄉路THE REACH|Phase|Block3|27|F,元朗,2013,7,blankblank,11 SHAP PAT HEUNG RD|十八鄉路,11 SHAP PAT HEUNG RD,11 十八鄉路,"尚悅3座,十八鄉路","THE REACH(BLOCK 3),SHAP PAT HEUNG RD","THE REACH(Block 3),SHAP PAT HEUNG RD|尚悅3座,十八鄉路",SHAP PAT HEUNG RDTHE REACHblankblank|Phaseblank|Block3|27|Fconsid5.245,27,中層,南,呂字型,有,業主減價 上車筍盤 歡迎約睇
96250,19052202490049,ASP,2019-05-08,RES,blank,2020/09,5.6241,0,381,0,14761,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5549582,19052202490049,K,2.0,2,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|2|K,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|2|Kconsid5.6241,2,中層,西,沒資料,基本,業主減價 上車筍盤 歡迎約睇
96252,19052202630022,ASP,2019-04-23,RES,blank,1988/03,4.88,483,381,10104,12808,blank,BW:18 SF (GI/NE) / ,5549652,19052202630022,F,2.0,blank,blank,SHUN FUNG BLDG,順豐大廈,blank,blank,FUNG YAU ST N,鳳攸北街,9,blank,NYL,YLTL432,|SHUN FUNG BLDG順豐大廈|Phase |Block ,鳳攸北街SHUN FUNG BLDG順豐大廈|Phase|Block,鳳攸北街SHUN FUNG BLDG順豐大廈|Phase|Block|2|F,元朗,1988,32,SHUN FUNG BLDG順豐大廈,9 FUNG YAU ST N|鳳攸北街,9 FUNG YAU ST N,9 鳳攸北街,"順豐大廈,鳳攸北街","SHUN FUNG BLDG,FUNG YAU ST N","SHUN FUNG BLDG,FUNG YAU ST N|順豐大廈,鳳攸北街",FUNG YAU ST NblankSHUN FUNG BLDG順豐大廈|Phaseblank|Blockblank|2|Fconsid4.88,2,高層,東北,四正,良好,業主減價 上車筍盤 歡迎約睇
96253,19052300080010,ASP,2019-05-08,RES,blank,1997/12,5.98,689,579,8679,10328,blank,BW:31 SF (GI/NE) / ,5549698,19052300080010,B,3.0,10,blank,blank,blank,GRAND DEL SOL,朗晴居,FUNG CHEUNG RD,鳳翔路,100,blank,NYL,YLTL495,GRAND DEL SOL||Phase |Block 10,鳳翔路GRAND DEL SOL|Phase|Block10,鳳翔路GRAND DEL SOL|Phase|Block10|3|B,元朗,1997,23,blankblank,100 FUNG CHEUNG RD|鳳翔路,100 FUNG CHEUNG RD,100 鳳翔路,"朗晴居10座,鳳翔路","GRAND DEL SOL(BLOCK 10),FUNG CHEUNG RD","GRAND DEL SOL(Block 10),FUNG CHEUNG RD|朗晴居10座,鳳翔路",FUNG CHEUNG RDGRAND DEL SOLblankblank|Phaseblank|Block10|3|Bconsid5.98,3,中層,東,呂字型,良好,單位實用四正 交通方便 配套完善
96254,19052300220089,ASP,2019-05-06,RES,blank,2002/06,6.0,634,483,9464,12422,blank,BW:24 SF (GI/NE) / BAL:21 SF (GI/NI) / ,5549737,19052300220089,F,6.0,10,2,blank,blank,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99,blank,NYL,YLTL500,SERENO VERDE||Phase 2|Block 10,大棠路SERENO VERDE|Phase2|Block10,大棠路SERENO VERDE|Phase2|Block10|6|F,元朗,2002,18,blankblank,99 TAI TONG RD|大棠路,99 TAI TONG RD,99 大棠路,"蝶翠峰10座,大棠路","SERENO VERDE(BLOCK 10),TAI TONG RD","SERENO VERDE(Block 10),TAI TONG RD|蝶翠峰10座,大棠路",TAI TONG RDSERENO VERDEblankblank|Phase2|Block10|6|Fconsid6.0,6,中層,東南,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96255,19052300340044,ASP,2019-05-03,RES,blank,1973/12,3.88,0,530,0,7321,+RF ,blank,5549811,19052300340044,C,5.0,blank,blank,VICTORY BLDG,聯勝樓,blank,blank,YUEN LONG TUNG TAI ST,元朗東堤街,7,11,NYL,YLTL114,|VICTORY BLDG聯勝樓|Phase |Block ,元朗東堤街VICTORY BLDG聯勝樓|Phase|Block,元朗東堤街VICTORY BLDG聯勝樓|Phase|Block|5|C,元朗,1973,47,VICTORY BLDG聯勝樓,7-11 YUEN LONG TUNG TAI ST|元朗東堤街,7-11 YUEN LONG TUNG TAI ST,7-11 元朗東堤街,"聯勝樓,元朗東堤街","VICTORY BLDG,YUEN LONG TUNG TAI ST","VICTORY BLDG,YUEN LONG TUNG TAI ST|聯勝樓,元朗東堤街",YUEN LONG TUNG TAI STblankVICTORY BLDG聯勝樓|Phaseblank|Blockblank|5|Cconsid3.88,5,中層,南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96256,19052300370127,ASP,2019-04-25,RES,blank,1974/12,3.26,0,485,0,6722,blank,blank,5549827,19052300370127,C,6.0,blank,blank,KAR HO BLDG,嘉好樓,blank,blank,YUEN LONG HONG LOK RD,元朗康樂路,27,31,NYL,YLTL98,|KAR HO BLDG嘉好樓|Phase |Block ,元朗康樂路KAR HO BLDG嘉好樓|Phase|Block,元朗康樂路KAR HO BLDG嘉好樓|Phase|Block|6|C,元朗,1974,46,KAR HO BLDG嘉好樓,27-31 YUEN LONG HONG LOK RD|元朗康樂路,27-31 YUEN LONG HONG LOK RD,27-31 元朗康樂路,"嘉好樓,元朗康樂路","KAR HO BLDG,YUEN LONG HONG LOK RD","KAR HO BLDG,YUEN LONG HONG LOK RD|嘉好樓,元朗康樂路",YUEN LONG HONG LOK RDblankKAR HO BLDG嘉好樓|Phaseblank|Blockblank|6|Cconsid3.26,6,高層,西南,呂字型,良好,業主減價 上車筍盤 歡迎約睇
96257,19052300410050,ASP,2019-05-20,RES,blank,2017/03,5.757999999999999,0,369,0,15604,blank,BAL:23 SF (NI) / UP:16 SF (NI) / ,5549847,19052300410050,B,15.0,2,blank,blank,blank,TWIN REGENCY,映御,TAK YIP ST,德業街,11,blank,NYL,YLTL528,TWIN REGENCY||Phase |Block 2,德業街TWIN REGENCY|Phase|Block2,德業街TWIN REGENCY|Phase|Block2|15|B,元朗,2017,3,blankblank,11 TAK YIP ST|德業街,11 TAK YIP ST,11 德業街,"映御2座,德業街","TWIN REGENCY(BLOCK 2),TAK YIP ST","TWIN REGENCY(Block 2),TAK YIP ST|映御2座,德業街",TAK YIP STTWIN REGENCYblankblank|Phaseblank|Block2|15|Bconsid5.757999999999999,15,中層,南,呂字型,良好,單位實用四正 交通方便 配套完善
96258,19052300430016,ASP,2019-05-10,RES,blank,2019/10,7.5751,0,496,0,15272,blank,BAL:26 SF (NI) / ,5549856,19052300430016,B,17.0,25B,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 25B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block25B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block25B|17|B,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block25B|17|Bconsid7.5751,17,中層,北,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96259,19052300440238,ASP,2019-05-10,RES,blank,2019/10,4.5939,0,251,0,18302,blank,BAL:22 SF (NI) / ,5549886,19052300440238,F,9.0,27A,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 27A,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27A,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27A|9|F,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block27A|9|Fconsid4.5939,9,低層,西北,沒資料,有,單位實用四正 交通方便 配套完善
96260,19052300710175,ASP,2019-05-17,RES,blank,2013/09,6.82,600,471,11367,14480,blank,BW:9 SF (GI/NE) / UP:16 SF (GI/NI) / ,5549983,19052300710175,C,10.0,5,blank,blank,blank,RIVA,爾巒,GENOVA BOULEVARD,珍諾華大道,blank,blank,NYL,DD109LOT2099,RIVA||Phase |Block 5,珍諾華大道RIVA|Phase|Block5,珍諾華大道RIVA|Phase|Block5|10|C,元朗,2013,7,blankblank,blank GENOVA BOULEVARD|珍諾華大道,blank GENOVA BOULEVARD,blank 珍諾華大道,"爾巒5座,珍諾華大道","RIVA(BLOCK 5),GENOVA BOULEVARD","RIVA(Block 5),GENOVA BOULEVARD|爾巒5座,珍諾華大道",GENOVA BOULEVARDRIVAblankblank|Phaseblank|Block5|10|Cconsid6.82,10,低層,南,四正,良好,業主減價 上車筍盤 歡迎約睇
96261,19052301090079,ASP,2019-05-14,RES,blank,2009/08,11.18,1167,934,9580,11970,blank,FR:80 SF / ,5550088,19052301090079,D,20.0,2,blank,blank,blank,LA GROVE,原築,SHAP PAT HEUNG RD,十八鄉路,83,blank,NYL,DD120LOT4042,LA GROVE||Phase |Block 2,十八鄉路LA GROVE|Phase|Block2,十八鄉路LA GROVE|Phase|Block2|20|D,元朗,2009,11,blankblank,83 SHAP PAT HEUNG RD|十八鄉路,83 SHAP PAT HEUNG RD,83 十八鄉路,"原築2座,十八鄉路","LA GROVE(BLOCK 2),SHAP PAT HEUNG RD","LA GROVE(Block 2),SHAP PAT HEUNG RD|原築2座,十八鄉路",SHAP PAT HEUNG RDLA GROVEblankblank|Phaseblank|Block2|20|Dconsid11.18,20,高層,西,沒資料,有,業主減價 上車筍盤 歡迎約睇
96263,19052301550023,ASP,2019-04-27,RES,blank,2004/04,6.5,599,464,10851,14009,blank,BW:18 SF (GI/NE) / BAL:21 SF (GI/NI) / ,5550212,19052301550023,C,6.0,7,blank,blank,blank,YOHO TOWN,新時代廣場,YUEN LUNG ST,元龍街,8,blank,NYL,YLTL503RP&EXT,YOHO TOWN||Phase |Block 7,元龍街YOHO TOWN|Phase|Block7,元龍街YOHO TOWN|Phase|Block7|6|C,元朗,2004,16,blankblank,8 YUEN LUNG ST|元龍街,8 YUEN LUNG ST,8 元龍街,"新時代廣場7座,元龍街","YOHO TOWN(BLOCK 7),YUEN LUNG ST","YOHO TOWN(Block 7),YUEN LUNG ST|新時代廣場7座,元龍街",YUEN LUNG STYOHO TOWNblankblank|Phaseblank|Block7|6|Cconsid6.5,6,高層,南,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
96264,19052301550162,ASP,2019-05-08,RES,blank,2019/10,7.3281,0,483,0,15172,blank,BAL:26 SF (NI) / ,5550219,19052301550162,C,2.0,25B,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 25B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block25B,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block25B|2|C,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block25B|2|Cconsid7.3281,2,高層,南,沒資料,基本,單位實用四正 交通方便 配套完善
96265,19052301680301,ASP,2019-05-08,RES,blank,2019/10,7.5751,0,581,0,13038,blank,BAL:28 SF (NI) / UP:16 SF (NI) / ,5550300,19052301680301,D,2.0,27A,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 27A,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27A,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block27A|2|D,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block27A|2|Dconsid7.5751,2,高層,東,四正,基本,單位實用四正 交通方便 配套完善
96266,19052301700025,ASP,2019-05-08,RES,blank,2019/10,4.5133,0,251,0,17981,blank,BAL:22 SF (NI) / ,5550307,19052301700025,E,2.0,28,2B,PARK YOHO NAPOLI,blank,PARK VISTA,峻巒,CASTLE PEAK RD TAM MI,青山公路潭尾段,18,blank,NYL,DD107LOT1927RP,PARK VISTA|PARK YOHO NAPOLI|Phase 2B|Block 28,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block28,青山公路潭尾段PARK VISTAPARK YOHO NAPOLI|Phase2B|Block28|2|E,元朗,2019,1,PARK YOHO NAPOLIblank,18 CASTLE PEAK RD TAM MI|青山公路潭尾段,18 CASTLE PEAK RD TAM MI,18 青山公路潭尾段,"blank,峻巒,青山公路潭尾段","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI","PARK YOHO NAPOLI,PARK VISTA,CASTLE PEAK RD TAM MI|blank,峻巒,青山公路潭尾段",CASTLE PEAK RD TAM MIPARK VISTAPARK YOHO NAPOLIblank|Phase2B|Block28|2|Econsid4.5133,2,高層,西南,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
