,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
49306,19011101170103,ASP,2019-01-07,RES,blank,2011/12,21.08,1272,995,16572,21186,blank,BW:23 SF (GI/NE) / BAL:24 SF (GI/NI) / UP:16 SF (GI/NI) / ,5483492,19011101170103,D,35.0,8,blank,blank,blank,IMPERIAL CULLINAN,瓏璽,HOI FAI RD,海輝道,10,blank,KSWK,KIL11146,IMPERIAL CULLINAN||Phase |Block 8,海輝道IMPERIAL CULLINAN|Phase|Block8,海輝道IMPERIAL CULLINAN|Phase|Block8|35|D,荔枝角南/南昌/奧運,2011,9,blankblank,10 HOI FAI RD|海輝道,10 HOI FAI RD,10 海輝道,"瓏璽8座,海輝道","IMPERIAL CULLINAN(BLOCK 8),HOI FAI RD","IMPERIAL CULLINAN(Block 8),HOI FAI RD|瓏璽8座,海輝道",HOI FAI RDIMPERIAL CULLINANblankblank|Phaseblank|Block8|35|Dconsid21.08,35
49758,19041500310014,ASP,2019-03-28,RES,blank,2019/08,2.814,0,390,0,7215,blank,blank,5525908,19041500310014,4,35.0,B,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block B,荔盈街HOI LOK COURT|Phase|BlockB,荔盈街HOI LOK COURT|Phase|BlockB|35|4,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑B座,荔盈街","HOI LOK COURT(BLOCK B),LAI YING ST","HOI LOK COURT(Block B),LAI YING ST|凱樂苑B座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockB|35|4consid2.814,35
49759,19041500390043,ASP,2019-03-29,RES,blank,2006/09,9.38,617,476,15203,19706,blank,BW:18 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5525946,19041500390043,B,11.0,6,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 6,深旺道HARBOUR GREEN|Phase|Block6,深旺道HARBOUR GREEN|Phase|Block6|11|B,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港6座,深旺道","HARBOUR GREEN(BLOCK 6),SHAM MONG RD","HARBOUR GREEN(Block 6),SHAM MONG RD|君匯港6座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block6|11|Bconsid9.38,11
49760,19041500500069,ASP,2019-03-22,RES,blank,2010/09,34.9,1672,1282,20873,27223,blank,BW:56 SF (GI/NE) / BAL:36 SF (GI/NI) / UP:16 SF (GI/NI) / RM:22 SF (GI/NE) / ,5525983,19041500500069,A,12.0,8,blank,blank,blank,THE HERMITAGE,帝峰皇殿,HOI WANG RD,海泓道,1,blank,KSWK,KIL11167 / KIL11168,THE HERMITAGE||Phase |Block 8,海泓道THE HERMITAGE|Phase|Block8,海泓道THE HERMITAGE|Phase|Block8|12|A,荔枝角南/南昌/奧運,2010,10,blankblank,1 HOI WANG RD|海泓道,1 HOI WANG RD,1 海泓道,"帝峰皇殿8座,海泓道","THE HERMITAGE(BLOCK 8),HOI WANG RD","THE HERMITAGE(Block 8),HOI WANG RD|帝峰皇殿8座,海泓道",HOI WANG RDTHE HERMITAGEblankblank|Phaseblank|Block8|12|Aconsid34.9,12
49761,19041500700084,ASP,2019-04-10,RES,blank,2003/08,8.7,647,495,13447,17576,blank,BW:26 SF (GI/NE) / ,5526049,19041500700084,E,33.0,7,blank,blank,blank,LIBERTE,昇悅居,LAI CHI KOK RD,荔枝角道,833,blank,KSWK,NKIL6328,LIBERTE||Phase |Block 7,荔枝角道LIBERTE|Phase|Block7,荔枝角道LIBERTE|Phase|Block7|33|E,荔枝角南/南昌/奧運,2003,17,blankblank,833 LAI CHI KOK RD|荔枝角道,833 LAI CHI KOK RD,833 荔枝角道,"昇悅居7座,荔枝角道","LIBERTE(BLOCK 7),LAI CHI KOK RD","LIBERTE(Block 7),LAI CHI KOK RD|昇悅居7座,荔枝角道",LAI CHI KOK RDLIBERTEblankblank|Phaseblank|Block7|33|Econsid8.7,33
49762,19041500790030,ASP,2019-03-27,RES,blank,2006/06,26.5,1216,960,21793,27604,blank,BW:13 SF (GI/NE) / BAL:28 SF (GI/NI) / UP:16 SF (GI/NI) / ,5526086,19041500790030,B,12.0,5,blank,blank,blank,ONE SILVERSEA,一號銀海,HOI FAI RD,海輝道,18,blank,KSWK,KIL11158,ONE SILVERSEA||Phase |Block 5,海輝道ONE SILVERSEA|Phase|Block5,海輝道ONE SILVERSEA|Phase|Block5|12|B,荔枝角南/南昌/奧運,2006,14,blankblank,18 HOI FAI RD|海輝道,18 HOI FAI RD,18 海輝道,"一號銀海5座,海輝道","ONE SILVERSEA(BLOCK 5),HOI FAI RD","ONE SILVERSEA(Block 5),HOI FAI RD|一號銀海5座,海輝道",HOI FAI RDONE SILVERSEAblankblank|Phaseblank|Block5|12|Bconsid26.5,12
49763,19041501310013,ASP,2019-04-09,RES,blank,2002/10,25.5,1016,772,25098,33031,blank,BW:54 SF (GI/NE) / ,5526170,19041501310013,G,65.0,6,1,blank,blank,SORRENTO,擎天半島,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE B,SORRENTO||Phase 1|Block 6,柯士甸道西SORRENTO|Phase1|Block6,柯士甸道西SORRENTO|Phase1|Block6|65|G,荔枝角南/南昌/奧運,2002,18,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"擎天半島6座,柯士甸道西","SORRENTO(BLOCK 6),AUSTIN RD W","SORRENTO(Block 6),AUSTIN RD W|擎天半島6座,柯士甸道西",AUSTIN RD WSORRENTOblankblank|Phase1|Block6|65|Gconsid25.5,65
49764,19041501310026,ASP,2019-04-09,RES,blank,2002/10,25.7,1006,764,25547,33639,blank,BW:54 SF (GI/NE) / ,5526171,19041501310026,H,65.0,6,1,blank,blank,SORRENTO,擎天半島,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE B,SORRENTO||Phase 1|Block 6,柯士甸道西SORRENTO|Phase1|Block6,柯士甸道西SORRENTO|Phase1|Block6|65|H,荔枝角南/南昌/奧運,2002,18,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"擎天半島6座,柯士甸道西","SORRENTO(BLOCK 6),AUSTIN RD W","SORRENTO(Block 6),AUSTIN RD W|擎天半島6座,柯士甸道西",AUSTIN RD WSORRENTOblankblank|Phase1|Block6|65|Hconsid25.7,65
49765,19041501330161,ASP,2019-04-02,RES,blank,2001/12,21.38,1035,787,20657,27166,blank,BW:38 SF (GI/NE) / ,5526183,19041501330161,C,30.0,2,blank,blank,blank,CENTRAL PARK,帝柏海灣,HOI TING RD,海庭道,18,blank,KSWK,KIL11090,CENTRAL PARK||Phase |Block 2,海庭道CENTRAL PARK|Phase|Block2,海庭道CENTRAL PARK|Phase|Block2|30|C,荔枝角南/南昌/奧運,2001,19,blankblank,18 HOI TING RD|海庭道,18 HOI TING RD,18 海庭道,"帝柏海灣2座,海庭道","CENTRAL PARK(BLOCK 2),HOI TING RD","CENTRAL PARK(Block 2),HOI TING RD|帝柏海灣2座,海庭道",HOI TING RDCENTRAL PARKblankblank|Phaseblank|Block2|30|Cconsid21.38,30
49767,19041501690185,ASP,2019-03-21,RES,blank,2000/02,13.6,866,654,15704,20795,blank,BW:48 SF (GI/NE) / ,5526373,19041501690185,D,29.0,2,blank,blank,blank,ISLAND HARBOURVIEW,維港灣,HOI FAI RD,海輝道,11,blank,KSWK,KIL11074,ISLAND HARBOURVIEW||Phase |Block 2,海輝道ISLAND HARBOURVIEW|Phase|Block2,海輝道ISLAND HARBOURVIEW|Phase|Block2|29|D,荔枝角南/南昌/奧運,2000,20,blankblank,11 HOI FAI RD|海輝道,11 HOI FAI RD,11 海輝道,"維港灣2座,海輝道","ISLAND HARBOURVIEW(BLOCK 2),HOI FAI RD","ISLAND HARBOURVIEW(Block 2),HOI FAI RD|維港灣2座,海輝道",HOI FAI RDISLAND HARBOURVIEWblankblank|Phaseblank|Block2|29|Dconsid13.6,29
49768,19041501730010,ASP,2019-04-01,RES,blank,2017/12,45.3104,0,1630,0,27798,blank,BAL:64 SF (NI) / ,5526381,19041501730010,A,15.0,blank,blank,OCEAN SKY MANS,海鑽匯,CULLINAN WEST,匯璽,SHAM MONG RD,深旺道,28,blank,KSWK,NKIL6333,CULLINAN WEST|OCEAN SKY MANS海鑽匯|Phase |Block ,深旺道CULLINAN WESTOCEAN SKY MANS海鑽匯|Phase|Block,深旺道CULLINAN WESTOCEAN SKY MANS海鑽匯|Phase|Block|15|A,荔枝角南/南昌/奧運,2017,3,OCEAN SKY MANS海鑽匯,28 SHAM MONG RD|深旺道,28 SHAM MONG RD,28 深旺道,"海鑽匯,匯璽,深旺道","OCEAN SKY MANS,CULLINAN WEST,SHAM MONG RD","OCEAN SKY MANS,CULLINAN WEST,SHAM MONG RD|海鑽匯,匯璽,深旺道",SHAM MONG RDCULLINAN WESTOCEAN SKY MANS海鑽匯|Phaseblank|Blockblank|15|Aconsid45.3104,15
49769,19041501760014,ASP,2019-03-08,RES,blank,2000/09,16.0,983,792,16277,20202,blank,BW:39 SF (GE/NE) / ,5526414,19041501760014,F,9.0,2,1,blank,blank,THE WATERFRONT,漾日居,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE A,THE WATERFRONT||Phase 1|Block 2,柯士甸道西THE WATERFRONT|Phase1|Block2,柯士甸道西THE WATERFRONT|Phase1|Block2|9|F,荔枝角南/南昌/奧運,2000,20,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"漾日居2座,柯士甸道西","THE WATERFRONT(BLOCK 2),AUSTIN RD W","THE WATERFRONT(Block 2),AUSTIN RD W|漾日居2座,柯士甸道西",AUSTIN RD WTHE WATERFRONTblankblank|Phase1|Block2|9|Fconsid16.0,9
49772,19041502170089,ASP,2019-04-04,RES,blank,2000/02,9.85,609,459,16174,21460,blank,BW:35 SF (GI/NE) / ,5526623,19041502170089,G,26.0,6,blank,blank,blank,ISLAND HARBOURVIEW,維港灣,HOI FAI RD,海輝道,11,blank,KSWK,KIL11074,ISLAND HARBOURVIEW||Phase |Block 6,海輝道ISLAND HARBOURVIEW|Phase|Block6,海輝道ISLAND HARBOURVIEW|Phase|Block6|26|G,荔枝角南/南昌/奧運,2000,20,blankblank,11 HOI FAI RD|海輝道,11 HOI FAI RD,11 海輝道,"維港灣6座,海輝道","ISLAND HARBOURVIEW(BLOCK 6),HOI FAI RD","ISLAND HARBOURVIEW(Block 6),HOI FAI RD|維港灣6座,海輝道",HOI FAI RDISLAND HARBOURVIEWblankblank|Phaseblank|Block6|26|Gconsid9.85,26
49773,19041600140139,ASP,2019-03-29,RES,blank,2018/11,2.7871,0,391,0,7128,blank,blank,5526851,19041600140139,14,23.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|23|14,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|23|14consid2.7871,23
49774,19041600140153,ASP,2019-03-07,RES,blank,2019/08,3.5707,0,482,0,7408,blank,blank,5526852,19041600140153,1,31.0,E,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block E,荔盈街HOI LOK COURT|Phase|BlockE,荔盈街HOI LOK COURT|Phase|BlockE|31|1,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑E座,荔盈街","HOI LOK COURT(BLOCK E),LAI YING ST","HOI LOK COURT(Block E),LAI YING ST|凱樂苑E座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockE|31|1consid3.5707,31
49775,19041600140163,ASP,2019-03-13,RES,blank,2019/08,3.2467,0,478,0,6792,blank,blank,5526853,19041600140163,9,15.0,B,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block B,荔盈街HOI LOK COURT|Phase|BlockB,荔盈街HOI LOK COURT|Phase|BlockB|15|9,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑B座,荔盈街","HOI LOK COURT(BLOCK B),LAI YING ST","HOI LOK COURT(Block B),LAI YING ST|凱樂苑B座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockB|15|9consid3.2467,15
49776,19041600140179,ASP,2019-02-28,RES,blank,2019/08,4.4383,0,629,0,7056,blank,blank,5526854,19041600140179,17,17.0,E,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block E,荔盈街HOI LOK COURT|Phase|BlockE,荔盈街HOI LOK COURT|Phase|BlockE|17|17,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑E座,荔盈街","HOI LOK COURT(BLOCK E),LAI YING ST","HOI LOK COURT(Block E),LAI YING ST|凱樂苑E座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockE|17|17consid4.4383,17
49777,19041600140183,ASP,2019-03-13,RES,blank,2019/08,3.3533,0,477,0,7030,blank,blank,5526855,19041600140183,2,19.0,B,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block B,荔盈街HOI LOK COURT|Phase|BlockB,荔盈街HOI LOK COURT|Phase|BlockB|19|2,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑B座,荔盈街","HOI LOK COURT(BLOCK B),LAI YING ST","HOI LOK COURT(Block B),LAI YING ST|凱樂苑B座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockB|19|2consid3.3533,19
49779,19041600410097,ASP,2019-03-20,RES,blank,2004/09,11.2,741,554,15115,20217,blank,BW:38 SF (GI/NE) / PF:15 SF (GE/NE) / ,5526953,19041600410097,D,38.0,6,blank,blank,blank,THE LONG BEACH,浪澄灣,HOI FAI RD,海輝道,8,blank,KSWK,KIL11152,THE LONG BEACH||Phase |Block 6,海輝道THE LONG BEACH|Phase|Block6,海輝道THE LONG BEACH|Phase|Block6|38|D,荔枝角南/南昌/奧運,2004,16,blankblank,8 HOI FAI RD|海輝道,8 HOI FAI RD,8 海輝道,"浪澄灣6座,海輝道","THE LONG BEACH(BLOCK 6),HOI FAI RD","THE LONG BEACH(Block 6),HOI FAI RD|浪澄灣6座,海輝道",HOI FAI RDTHE LONG BEACHblankblank|Phaseblank|Block6|38|Dconsid11.2,38
49781,19041600950012,ASP,2019-03-18,RES,blank,2019/08,3.4514,0,479,0,7205,blank,blank,5527208,19041600950012,10,34.0,E,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block E,荔盈街HOI LOK COURT|Phase|BlockE,荔盈街HOI LOK COURT|Phase|BlockE|34|10,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑E座,荔盈街","HOI LOK COURT(BLOCK E),LAI YING ST","HOI LOK COURT(Block E),LAI YING ST|凱樂苑E座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockE|34|10consid3.4514,34
49782,19041601460014,ASP,2019-04-08,RES,blank,2018/11,2.7195,0,391,0,6955,blank,blank,5527310,19041601460014,10,31.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|31|10,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|31|10consid2.7195,31
49783,19041601460026,ASP,2019-04-09,RES,blank,2018/11,2.5762,0,391,0,6589,blank,blank,5527311,19041601460026,6,9.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|9|6,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|9|6consid2.5762,9
49784,19041601790031,ASP,2019-03-21,RES,blank,2003/12,10.0,0,590,0,16949,blank,BW:42 SF (NE) / ,5527479,19041601790031,H,49.0,3,blank,blank,blank,AQUAMARINE,碧海藍天,SHAM SHING RD,深盛路,8,blank,KSWK,NKIL6338,AQUAMARINE||Phase |Block 3,深盛路AQUAMARINE|Phase|Block3,深盛路AQUAMARINE|Phase|Block3|49|H,荔枝角南/南昌/奧運,2003,17,blankblank,8 SHAM SHING RD|深盛路,8 SHAM SHING RD,8 深盛路,"碧海藍天3座,深盛路","AQUAMARINE(BLOCK 3),SHAM SHING RD","AQUAMARINE(Block 3),SHAM SHING RD|碧海藍天3座,深盛路",SHAM SHING RDAQUAMARINEblankblank|Phaseblank|Block3|49|Hconsid10.0,49
49785,19041601870215,ASP,2019-03-21,RES,blank,2006/09,10.5,621,484,16908,21694,blank,BW:13 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5527534,19041601870215,E,50.0,5,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 5,深旺道HARBOUR GREEN|Phase|Block5,深旺道HARBOUR GREEN|Phase|Block5|50|E,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港5座,深旺道","HARBOUR GREEN(BLOCK 5),SHAM MONG RD","HARBOUR GREEN(Block 5),SHAM MONG RD|君匯港5座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block5|50|Econsid10.5,50
49786,19041602420148,ASP,2019-03-18,RES,blank,2006/09,9.1,625,487,14560,18686,blank,BW:13 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5527742,19041602420148,A,18.0,5,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 5,深旺道HARBOUR GREEN|Phase|Block5,深旺道HARBOUR GREEN|Phase|Block5|18|A,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港5座,深旺道","HARBOUR GREEN(BLOCK 5),SHAM MONG RD","HARBOUR GREEN(Block 5),SHAM MONG RD|君匯港5座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block5|18|Aconsid9.1,18
49788,19041700020058,ASP,2019-04-12,RES,blank,2019/08,2.4717,0,391,0,6321,blank,blank,5527858,19041700020058,15,5.0,E,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block E,荔盈街HOI LOK COURT|Phase|BlockE,荔盈街HOI LOK COURT|Phase|BlockE|5|15,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑E座,荔盈街","HOI LOK COURT(BLOCK E),LAI YING ST","HOI LOK COURT(Block E),LAI YING ST|凱樂苑E座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockE|5|15consid2.4717,5
49789,19041700150534,ASP,2019-04-04,RES,blank,2018/11,2.6935,0,391,0,6889,blank,blank,5527878,19041700150534,10,27.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|27|10,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|27|10consid2.6935,27
49790,19041700150563,ASP,2019-04-08,RES,blank,2018/11,2.7781,0,391,0,7105,blank,blank,5527881,19041700150563,6,40.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|40|6,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|40|6consid2.7781,40
49791,19041700150576,ASP,2019-04-03,RES,blank,2019/08,2.7544,0,391,0,7044,blank,blank,5527882,19041700150576,9,27.0,E,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block E,荔盈街HOI LOK COURT|Phase|BlockE,荔盈街HOI LOK COURT|Phase|BlockE|27|9,荔枝角南/南昌/奧運,2019,1,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑E座,荔盈街","HOI LOK COURT(BLOCK E),LAI YING ST","HOI LOK COURT(Block E),LAI YING ST|凱樂苑E座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockE|27|9consid2.7544,27
49793,19041700360011,ASP,2019-03-22,RES,blank,2000/02,11.0,866,654,12702,16820,blank,BW:48 SF (GI/NE) / ,5527925,19041700360011,D,10.0,1,blank,blank,blank,ISLAND HARBOURVIEW,維港灣,HOI FAI RD,海輝道,11,blank,KSWK,KIL11074,ISLAND HARBOURVIEW||Phase |Block 1,海輝道ISLAND HARBOURVIEW|Phase|Block1,海輝道ISLAND HARBOURVIEW|Phase|Block1|10|D,荔枝角南/南昌/奧運,2000,20,blankblank,11 HOI FAI RD|海輝道,11 HOI FAI RD,11 海輝道,"維港灣1座,海輝道","ISLAND HARBOURVIEW(BLOCK 1),HOI FAI RD","ISLAND HARBOURVIEW(Block 1),HOI FAI RD|維港灣1座,海輝道",HOI FAI RDISLAND HARBOURVIEWblankblank|Phaseblank|Block1|10|Dconsid11.0,10
49794,19041700370093,ASP,2019-04-10,RES,blank,2018/11,2.5326,0,391,0,6477,blank,blank,5527946,19041700370093,6,5.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|5|6,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|5|6consid2.5326,5
49795,19041700640025,ASP,2019-03-22,RES,blank,2003/12,9.1,665,504,13684,18056,blank,BW:31 SF (GI/NE) / ,5528069,19041700640025,B,49.0,6,blank,blank,blank,AQUAMARINE,碧海藍天,SHAM SHING RD,深盛路,8,blank,KSWK,NKIL6338,AQUAMARINE||Phase |Block 6,深盛路AQUAMARINE|Phase|Block6,深盛路AQUAMARINE|Phase|Block6|49|B,荔枝角南/南昌/奧運,2003,17,blankblank,8 SHAM SHING RD|深盛路,8 SHAM SHING RD,8 深盛路,"碧海藍天6座,深盛路","AQUAMARINE(BLOCK 6),SHAM SHING RD","AQUAMARINE(Block 6),SHAM SHING RD|碧海藍天6座,深盛路",SHAM SHING RDAQUAMARINEblankblank|Phaseblank|Block6|49|Bconsid9.1,49
49796,19041700700030,ASP,2019-04-08,RES,blank,2018/11,2.713,0,391,0,6939,blank,blank,5528112,19041700700030,10,30.0,A,blank,blank,blank,HOI LOK COURT,凱樂苑,LAI YING ST,荔盈街,3,blank,KSWK,NKIL6600,HOI LOK COURT||Phase |Block A,荔盈街HOI LOK COURT|Phase|BlockA,荔盈街HOI LOK COURT|Phase|BlockA|30|10,荔枝角南/南昌/奧運,2018,2,blankblank,3 LAI YING ST|荔盈街,3 LAI YING ST,3 荔盈街,"凱樂苑A座,荔盈街","HOI LOK COURT(BLOCK A),LAI YING ST","HOI LOK COURT(Block A),LAI YING ST|凱樂苑A座,荔盈街",LAI YING STHOI LOK COURTblankblank|Phaseblank|BlockA|30|10consid2.713,30
49797,19041700750131,ASP,2019-03-20,RES,blank,2003/06,7.8,673,494,11590,15789,blank,BW:32 SF (GE/NE) / PF:9 SF (GE/NE) / ,5528131,19041700750131,A,9.0,3,1,blank,blank,BANYAN GDN,泓景臺,LAI CHI KOK RD,荔枝角道,863,blank,KSWK,NKIL6320,BANYAN GDN||Phase 1|Block 3,荔枝角道BANYAN GDN|Phase1|Block3,荔枝角道BANYAN GDN|Phase1|Block3|9|A,荔枝角南/南昌/奧運,2003,17,blankblank,863 LAI CHI KOK RD|荔枝角道,863 LAI CHI KOK RD,863 荔枝角道,"泓景臺3座,荔枝角道","BANYAN GDN(BLOCK 3),LAI CHI KOK RD","BANYAN GDN(Block 3),LAI CHI KOK RD|泓景臺3座,荔枝角道",LAI CHI KOK RDBANYAN GDNblankblank|Phase1|Block3|9|Aconsid7.8,9
