,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
105467,19011002080014,ASP,2019-01-03,RES,blank,1982/04,6.0,562,450,10676,13333,blank,BW:18 SF (GI/NE) / ,5483078,19011002080014,E,13.0,19,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,4,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 19,百得街CITY ONE SHATIN|Phase|Block19,百得街CITY ONE SHATIN|Phase|Block19|13|E,沙田,1982,38,blankblank,4 PAK TAK ST|百得街,4 PAK TAK ST,4 百得街,"沙田第一城19座,百得街","CITY ONE SHATIN(BLOCK 19),PAK TAK ST","CITY ONE SHATIN(Block 19),PAK TAK ST|沙田第一城19座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block19|13|Econsid6.0,13,中層,東南,呂字型,基本,單位實用四正 交通方便 配套完善
105887,19031501330051,ASP,2019-03-04,RES,blank,1999/10,12.0,1095,888,10959,13514,blank,BW:22 SF (GI/NE) / ,5510740,19031501330051,B,5.0,7,blank,blank,blank,CASTELLO,帝堡城,SIU LEK YUEN RD,小瀝源路,69,blank,NST,STTL439,CASTELLO||Phase |Block 7,小瀝源路CASTELLO|Phase|Block7,小瀝源路CASTELLO|Phase|Block7|5|B,沙田,1999,21,blankblank,69 SIU LEK YUEN RD|小瀝源路,69 SIU LEK YUEN RD,69 小瀝源路,"帝堡城7座,小瀝源路","CASTELLO(BLOCK 7),SIU LEK YUEN RD","CASTELLO(Block 7),SIU LEK YUEN RD|帝堡城7座,小瀝源路",SIU LEK YUEN RDCASTELLOblankblank|Phaseblank|Block7|5|Bconsid12.0,5,中層,西南,沒資料,良好,業主減價 上車筍盤 歡迎約睇
105888,19031501420157,ASP,2019-03-11,RES,blank,1992/06,3.48,290,199,12000,17487,blank,blank,5510768,19031501420157,B,1.0,blank,blank,CHIK HONG MANS,積康樓,blank,blank,CHIK FU ST,積富街,33,blank,NST,STTL122,|CHIK HONG MANS積康樓|Phase |Block ,積富街CHIK HONG MANS積康樓|Phase|Block,積富街CHIK HONG MANS積康樓|Phase|Block|1|B,沙田,1992,28,CHIK HONG MANS積康樓,33 CHIK FU ST|積富街,33 CHIK FU ST,33 積富街,"積康樓,積富街","CHIK HONG MANS,CHIK FU ST","CHIK HONG MANS,CHIK FU ST|積康樓,積富街",CHIK FU STblankCHIK HONG MANS積康樓|Phaseblank|Blockblank|1|Bconsid3.48,1,高層,北,四正,有,單位實用四正 交通方便 配套完善
105889,19031501420249,ASP,2019-03-01,RES,blank,1981/12,5.45,356,289,15309,18858,blank,blank,5510775,19031501420249,H,16.0,H,blank,KWONG NING BLDG,廣寧大廈,SHATIN CTR,沙田中心,WANG POK ST,橫壆街,2,16,NST,STTL16,SHATIN CTR|KWONG NING BLDG廣寧大廈|Phase |Block H,橫壆街SHATIN CTRKWONG NING BLDG廣寧大廈|Phase|BlockH,橫壆街SHATIN CTRKWONG NING BLDG廣寧大廈|Phase|BlockH|16|H,沙田,1981,39,KWONG NING BLDG廣寧大廈,2-16 WANG POK ST|橫壆街,2-16 WANG POK ST,2-16 橫壆街,"廣寧大廈,沙田中心,橫壆街","KWONG NING BLDG,SHATIN CTR,WANG POK ST","KWONG NING BLDG,SHATIN CTR,WANG POK ST|廣寧大廈,沙田中心,橫壆街",WANG POK STSHATIN CTRKWONG NING BLDG廣寧大廈|Phaseblank|BlockH|16|Hconsid5.45,16,中層,西,呂字型,有,業主減價 上車筍盤 歡迎約睇
105890,19031501420326,ASP,2019-03-08,RES,blank,1996/04,3.95,517,402,7640,9826,blank,blank,5510779,19031501420326,8,35.0,E,blank,HONG CHUNG HSE,康松閣,MEI CHUNG COURT,美松苑,MEI TIN RD,美田路,33,blank,NST,STTL396RP,MEI CHUNG COURT|HONG CHUNG HSE康松閣|Phase |Block E,美田路MEI CHUNG COURTHONG CHUNG HSE康松閣|Phase|BlockE,美田路MEI CHUNG COURTHONG CHUNG HSE康松閣|Phase|BlockE|35|8,沙田,1996,24,HONG CHUNG HSE康松閣,33 MEI TIN RD|美田路,33 MEI TIN RD,33 美田路,"康松閣,美松苑,美田路","HONG CHUNG HSE,MEI CHUNG COURT,MEI TIN RD","HONG CHUNG HSE,MEI CHUNG COURT,MEI TIN RD|康松閣,美松苑,美田路",MEI TIN RDMEI CHUNG COURTHONG CHUNG HSE康松閣|Phaseblank|BlockE|35|8consid3.95,35,中層,東,四正,有,業主減價 上車筍盤 歡迎約睇
105891,19031501560103,ASP,2019-03-01,RES,blank,1985/04,4.28,539,381,7941,11234,blank,blank,5510811,19031501560103,15,11.0,C,blank,FU SHING HSE,富盛閣,FUNG SHING COURT,豐盛苑,FUNG SHEK ST,豐石街,6,blank,NST,STTL249,FUNG SHING COURT|FU SHING HSE富盛閣|Phase |Block C,豐石街FUNG SHING COURTFU SHING HSE富盛閣|Phase|BlockC,豐石街FUNG SHING COURTFU SHING HSE富盛閣|Phase|BlockC|11|15,沙田,1985,35,FU SHING HSE富盛閣,6 FUNG SHEK ST|豐石街,6 FUNG SHEK ST,6 豐石街,"富盛閣,豐盛苑,豐石街","FU SHING HSE,FUNG SHING COURT,FUNG SHEK ST","FU SHING HSE,FUNG SHING COURT,FUNG SHEK ST|富盛閣,豐盛苑,豐石街",FUNG SHEK STFUNG SHING COURTFU SHING HSE富盛閣|Phaseblank|BlockC|11|15consid4.28,11,低層,西北,四正,有,單位實用四正 交通方便 配套完善
105892,19031501680125,ASP,2019-02-27,RES,blank,1984/10,4.8,511,343,9393,13994,blank,BW:24 SF (GI/NE) / ,5510825,19031501680125,D,8.0,1,2,APEX GDN,雅碧苑,SHATINPARK,花園城,KONG PUI ST,崗背街,1,3,NST,STTL129,SHATINPARK|APEX GDN雅碧苑|Phase 2|Block 1,崗背街SHATINPARKAPEX GDN雅碧苑|Phase2|Block1,崗背街SHATINPARKAPEX GDN雅碧苑|Phase2|Block1|8|D,沙田,1984,36,APEX GDN雅碧苑,1-3 KONG PUI ST|崗背街,1-3 KONG PUI ST,1-3 崗背街,"雅碧苑,花園城,崗背街","APEX GDN,SHATINPARK,KONG PUI ST","APEX GDN,SHATINPARK,KONG PUI ST|雅碧苑,花園城,崗背街",KONG PUI STSHATINPARKAPEX GDN雅碧苑|Phase2|Block1|8|Dconsid4.8,8,低層,西北,沒資料,有,業主減價 上車筍盤 歡迎約睇
105894,19031501860223,ASP,2019-03-08,RES,blank,1982/07,5.26,395,327,13316,16086,blank,blank,5510866,19031501860223,D,4.0,20,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK WING ST,得榮街,1,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 20,得榮街CITY ONE SHATIN|Phase|Block20,得榮街CITY ONE SHATIN|Phase|Block20|4|D,沙田,1982,38,blankblank,1 TAK WING ST|得榮街,1 TAK WING ST,1 得榮街,"沙田第一城20座,得榮街","CITY ONE SHATIN(BLOCK 20),TAK WING ST","CITY ONE SHATIN(Block 20),TAK WING ST|沙田第一城20座,得榮街",TAK WING STCITY ONE SHATINblankblank|Phaseblank|Block20|4|Dconsid5.26,4,低層,西北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105895,19031501860478,ASP,2019-03-08,RES,blank,1986/01,5.08,410,305,12390,16656,blank,BW:22 SF (GI/NE) / ,5510881,19031501860478,D,19.0,47,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK PO ST,得寶街,4,blank,NST,STTL1sM,CITY ONE SHATIN||Phase |Block 47,得寶街CITY ONE SHATIN|Phase|Block47,得寶街CITY ONE SHATIN|Phase|Block47|19|D,沙田,1986,34,blankblank,4 TAK PO ST|得寶街,4 TAK PO ST,4 得寶街,"沙田第一城47座,得寶街","CITY ONE SHATIN(BLOCK 47),TAK PO ST","CITY ONE SHATIN(Block 47),TAK PO ST|沙田第一城47座,得寶街",TAK PO STCITY ONE SHATINblankblank|Phaseblank|Block47|19|Dconsid5.08,19,低層,東北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105896,19031501990060,ASP,2019-03-08,RES,blank,2001/09,7.35,532,401,13816,18329,blank,BW:28 SF (GI/NE) / ,5510904,19031501990060,D,27.0,3,blank,blank,blank,PRIMA VILLA,欣廷軒,CHUI YAN ST,翠欣街,8,blank,NST,STTL394,PRIMA VILLA||Phase |Block 3,翠欣街PRIMA VILLA|Phase|Block3,翠欣街PRIMA VILLA|Phase|Block3|27|D,沙田,2001,19,blankblank,8 CHUI YAN ST|翠欣街,8 CHUI YAN ST,8 翠欣街,"欣廷軒3座,翠欣街","PRIMA VILLA(BLOCK 3),CHUI YAN ST","PRIMA VILLA(Block 3),CHUI YAN ST|欣廷軒3座,翠欣街",CHUI YAN STPRIMA VILLAblankblank|Phaseblank|Block3|27|Dconsid7.35,27,高層,南,四正,有,單位實用四正 交通方便 配套完善
105898,19031502090070,ASP,2019-02-18,RES,blank,1985/06,5.57,416,305,13389,18262,blank,BW:23 SF (GI/NE) / ,5510924,19031502090070,C,18.0,4,blank,blank,blank,GRANDEUR GDN,金禧花園,CHIK FAI ST,積輝街,2,12,NST,STTL199,GRANDEUR GDN||Phase |Block 4,積輝街GRANDEUR GDN|Phase|Block4,積輝街GRANDEUR GDN|Phase|Block4|18|C,沙田,1985,35,blankblank,2-12 CHIK FAI ST|積輝街,2-12 CHIK FAI ST,2-12 積輝街,"金禧花園4座,積輝街","GRANDEUR GDN(BLOCK 4),CHIK FAI ST","GRANDEUR GDN(Block 4),CHIK FAI ST|金禧花園4座,積輝街",CHIK FAI STGRANDEUR GDNblankblank|Phaseblank|Block4|18|Cconsid5.57,18,低層,西北,沒資料,有,單位實用四正 交通方便 配套完善
105900,19031800400054,ASP,2019-02-23,RES,CP,1987/06,20.0,1872,1521,10684,13149,blank,BW:55 SF (GI/NE) / ,5511173,19031800400054,A,19.0,6,blank,blank,blank,JULIMOUNT GDN,瑞峰花園,HIN TAI ST,顯泰街,1,5,NST,STTL167RP,JULIMOUNT GDN||Phase |Block 6,顯泰街JULIMOUNT GDN|Phase|Block6,顯泰街JULIMOUNT GDN|Phase|Block6|19|A,沙田,1987,33,blankblank,1-5 HIN TAI ST|顯泰街,1-5 HIN TAI ST,1-5 顯泰街,"瑞峰花園6座,顯泰街","JULIMOUNT GDN(BLOCK 6),HIN TAI ST","JULIMOUNT GDN(Block 6),HIN TAI ST|瑞峰花園6座,顯泰街",HIN TAI STJULIMOUNT GDNblankblank|Phaseblank|Block6|19|Aconsid20.0,19,低層,東,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105901,19031801710049,ASP,2019-03-04,RES,blank,1981/12,5.2879999999999985,377,302,14027,17510,blank,blank,5511477,19031801710049,D,7.0,C,blank,KAI NING BLDG,佳寧大廈,SHATIN CTR,沙田中心,WANG POK ST,橫壆街,2,16,NST,STTL16,SHATIN CTR|KAI NING BLDG佳寧大廈|Phase |Block C,橫壆街SHATIN CTRKAI NING BLDG佳寧大廈|Phase|BlockC,橫壆街SHATIN CTRKAI NING BLDG佳寧大廈|Phase|BlockC|7|D,沙田,1981,39,KAI NING BLDG佳寧大廈,2-16 WANG POK ST|橫壆街,2-16 WANG POK ST,2-16 橫壆街,"佳寧大廈,沙田中心,橫壆街","KAI NING BLDG,SHATIN CTR,WANG POK ST","KAI NING BLDG,SHATIN CTR,WANG POK ST|佳寧大廈,沙田中心,橫壆街",WANG POK STSHATIN CTRKAI NING BLDG佳寧大廈|Phaseblank|BlockC|7|Dconsid5.2879999999999985,7,高層,北,呂字型,良好,業主減價 上車筍盤 歡迎約睇
105902,19031801920024,ASP,2019-03-03,RES,blank,1985/05,5.22,410,305,12732,17115,blank,BW:22 SF (GI/NE) / ,5511526,19031801920024,C,12.0,41,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,10,blank,NST,STTL1sF,CITY ONE SHATIN||Phase |Block 41,百得街CITY ONE SHATIN|Phase|Block41,百得街CITY ONE SHATIN|Phase|Block41|12|C,沙田,1985,35,blankblank,10 PAK TAK ST|百得街,10 PAK TAK ST,10 百得街,"沙田第一城41座,百得街","CITY ONE SHATIN(BLOCK 41),PAK TAK ST","CITY ONE SHATIN(Block 41),PAK TAK ST|沙田第一城41座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block41|12|Cconsid5.22,12,高層,南,四正,良好,單位實用四正 交通方便 配套完善
105903,19031802020058,ASP,2019-03-04,RES,CP,1994/03,9.93,886,718,11208,13830,blank,BW:32 SF (GI/NE) / ,5511570,19031802020058,H,30.0,2,blank,blank,blank,PARK VIEW GDN,翠景花園,PIK TIN ST,碧田街,8,blank,NST,STTL377,PARK VIEW GDN||Phase |Block 2,碧田街PARK VIEW GDN|Phase|Block2,碧田街PARK VIEW GDN|Phase|Block2|30|H,沙田,1994,26,blankblank,8 PIK TIN ST|碧田街,8 PIK TIN ST,8 碧田街,"翠景花園2座,碧田街","PARK VIEW GDN(BLOCK 2),PIK TIN ST","PARK VIEW GDN(Block 2),PIK TIN ST|翠景花園2座,碧田街",PIK TIN STPARK VIEW GDNblankblank|Phaseblank|Block2|30|Hconsid9.93,30,低層,南,呂字型,良好,業主減價 上車筍盤 歡迎約睇
105904,19031802110087,ASP,2019-03-11,RES,blank,1981/05,7.38,594,507,12424,14556,blank,blank,5511597,19031802110087,E,14.0,11,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK LEE ST,得利街,2,blank,NST,STTL1sARP,CITY ONE SHATIN||Phase |Block 11,得利街CITY ONE SHATIN|Phase|Block11,得利街CITY ONE SHATIN|Phase|Block11|14|E,沙田,1981,39,blankblank,2 TAK LEE ST|得利街,2 TAK LEE ST,2 得利街,"沙田第一城11座,得利街","CITY ONE SHATIN(BLOCK 11),TAK LEE ST","CITY ONE SHATIN(Block 11),TAK LEE ST|沙田第一城11座,得利街",TAK LEE STCITY ONE SHATINblankblank|Phaseblank|Block11|14|Econsid7.38,14,中層,西,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105906,19031900430148,ASP,2019-03-08,RES,blank,1983/04,6.5,555,425,11712,15294,blank,blank,5511759,19031900430148,H,5.0,A2,blank,YU LAM COURT,榆林閣,SHATIN NEW TOWN,好運中心,WANG POK ST,橫壆街,1,15,NST,STTL15,SHATIN NEW TOWN|YU LAM COURT榆林閣|Phase |Block A2,橫壆街SHATIN NEW TOWNYU LAM COURT榆林閣|Phase|BlockA2,橫壆街SHATIN NEW TOWNYU LAM COURT榆林閣|Phase|BlockA2|5|H,沙田,1983,37,YU LAM COURT榆林閣,1-15 WANG POK ST|橫壆街,1-15 WANG POK ST,1-15 橫壆街,"榆林閣,好運中心,橫壆街","YU LAM COURT,SHATIN NEW TOWN,WANG POK ST","YU LAM COURT,SHATIN NEW TOWN,WANG POK ST|榆林閣,好運中心,橫壆街",WANG POK STSHATIN NEW TOWNYU LAM COURT榆林閣|Phaseblank|BlockA2|5|Hconsid6.5,5,中層,東南,沒資料,有,業主減價 上車筍盤 歡迎約睇
105907,19031900680017,ASP,2019-03-06,RES,blank,2010/02,12.38,980,740,12633,16730,blank,BW:39 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5511843,19031900680017,SC-D,18.0,5,1,blank,blank,FESTIVAL CITY,名城,MEI TIN RD,美田路,1,blank,NST,STTL529,FESTIVAL CITY||Phase 1|Block 5,美田路FESTIVAL CITY|Phase1|Block5,美田路FESTIVAL CITY|Phase1|Block5|18|SC-D,沙田,2010,10,blankblank,1 MEI TIN RD|美田路,1 MEI TIN RD,1 美田路,"名城5座,美田路","FESTIVAL CITY(BLOCK 5),MEI TIN RD","FESTIVAL CITY(Block 5),MEI TIN RD|名城5座,美田路",MEI TIN RDFESTIVAL CITYblankblank|Phase1|Block5|18|SC-Dconsid12.38,18,低層,北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105910,19031901620224,ASP,2019-03-06,RES,blank,1985/04,5.58,693,490,8052,11388,blank,blank,5512052,19031901620224,13,17.0,B,blank,WAH SHING HSE,華盛閣,FUNG SHING COURT,豐盛苑,FUNG SHEK ST,豐石街,4,blank,NST,STTL249,FUNG SHING COURT|WAH SHING HSE華盛閣|Phase |Block B,豐石街FUNG SHING COURTWAH SHING HSE華盛閣|Phase|BlockB,豐石街FUNG SHING COURTWAH SHING HSE華盛閣|Phase|BlockB|17|13,沙田,1985,35,WAH SHING HSE華盛閣,4 FUNG SHEK ST|豐石街,4 FUNG SHEK ST,4 豐石街,"華盛閣,豐盛苑,豐石街","WAH SHING HSE,FUNG SHING COURT,FUNG SHEK ST","WAH SHING HSE,FUNG SHING COURT,FUNG SHEK ST|華盛閣,豐盛苑,豐石街",FUNG SHEK STFUNG SHING COURTWAH SHING HSE華盛閣|Phaseblank|BlockB|17|13consid5.58,17,低層,西北,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105911,19031901760020,ASP,2019-03-11,RES,blank,2008/12,13.8,0,897,0,15385,blank,BW:24 SF (NE) / BAL:24 SF (NI) / UP:16 SF (NI) / RM:32 SF (NE) / ,5512098,19031901760020,C,10.0,7,blank,blank,blank,THE PALAZZO,御龍山,LOK KING ST,樂景街,28,blank,NST,STTL470,THE PALAZZO||Phase |Block 7,樂景街THE PALAZZO|Phase|Block7,樂景街THE PALAZZO|Phase|Block7|10|C,沙田,2008,12,blankblank,28 LOK KING ST|樂景街,28 LOK KING ST,28 樂景街,"御龍山7座,樂景街","THE PALAZZO(BLOCK 7),LOK KING ST","THE PALAZZO(Block 7),LOK KING ST|御龍山7座,樂景街",LOK KING STTHE PALAZZOblankblank|Phaseblank|Block7|10|Cconsid13.8,10,中層,南,四正,基本,業主減價 上車筍盤 歡迎約睇
105912,19031901760037,ASP,2019-03-11,RES,blank,1988/03,5.7,584,469,9760,12154,blank,BW:8 SF (GI/NE) / ,5512099,19031901760037,6,20.0,B,blank,KA KEI HSE,嘉祺閣,KA TIN COURT,嘉田苑,HIN TIN ST,顯田街,8,blank,NST,STTL290RP,KA TIN COURT|KA KEI HSE嘉祺閣|Phase |Block B,顯田街KA TIN COURTKA KEI HSE嘉祺閣|Phase|BlockB,顯田街KA TIN COURTKA KEI HSE嘉祺閣|Phase|BlockB|20|6,沙田,1988,32,KA KEI HSE嘉祺閣,8 HIN TIN ST|顯田街,8 HIN TIN ST,8 顯田街,"嘉祺閣,嘉田苑,顯田街","KA KEI HSE,KA TIN COURT,HIN TIN ST","KA KEI HSE,KA TIN COURT,HIN TIN ST|嘉祺閣,嘉田苑,顯田街",HIN TIN STKA TIN COURTKA KEI HSE嘉祺閣|Phaseblank|BlockB|20|6consid5.7,20,低層,南,沒資料,有,單位實用四正 交通方便 配套完善
105913,19031901760046,ASP,2019-03-12,RES,blank,1981/08,12.55,980,826,12806,15194,blank,BW:21 SF (GI/NE) / RF:646 SF / ,5512100,19031901760046,B,27.0,4,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK KEI ST,得基街,8,blank,NST,STTL1sARP,CITY ONE SHATIN||Phase |Block 4,得基街CITY ONE SHATIN|Phase|Block4,得基街CITY ONE SHATIN|Phase|Block4|27|B,沙田,1981,39,blankblank,8 TAK KEI ST|得基街,8 TAK KEI ST,8 得基街,"沙田第一城4座,得基街","CITY ONE SHATIN(BLOCK 4),TAK KEI ST","CITY ONE SHATIN(Block 4),TAK KEI ST|沙田第一城4座,得基街",TAK KEI STCITY ONE SHATINblankblank|Phaseblank|Block4|27|Bconsid12.55,27,高層,東北,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105914,19032000520089,ASP,2019-03-13,RES,blank,2001/04,5.8,738,519,7859,11175,blank,blank,5512461,19032000520089,3,37.0,R,1,blank,blank,YU CHUI COURT,愉翠苑,NGAU PEI SHA ST,牛皮沙街,6,blank,NST,STTL462,YU CHUI COURT||Phase 1|Block R,牛皮沙街YU CHUI COURT|Phase1|BlockR,牛皮沙街YU CHUI COURT|Phase1|BlockR|37|3,沙田,2001,19,blankblank,6 NGAU PEI SHA ST|牛皮沙街,6 NGAU PEI SHA ST,6 牛皮沙街,"愉翠苑R座,牛皮沙街","YU CHUI COURT(BLOCK R),NGAU PEI SHA ST","YU CHUI COURT(Block R),NGAU PEI SHA ST|愉翠苑R座,牛皮沙街",NGAU PEI SHA STYU CHUI COURTblankblank|Phase1|BlockR|37|3consid5.8,37,高層,東北,呂字型,良好,單位實用四正 交通方便 配套完善
105915,19032000570085,ASP,2019-02-28,RES,blank,1982/04,6.68,607,515,11005,12971,blank,BW:29 SF (GI/NE) / ,5512466,19032000570085,B,5.0,22,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,8,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 22,百得街CITY ONE SHATIN|Phase|Block22,百得街CITY ONE SHATIN|Phase|Block22|5|B,沙田,1982,38,blankblank,8 PAK TAK ST|百得街,8 PAK TAK ST,8 百得街,"沙田第一城22座,百得街","CITY ONE SHATIN(BLOCK 22),PAK TAK ST","CITY ONE SHATIN(Block 22),PAK TAK ST|沙田第一城22座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block22|5|Bconsid6.68,5,中層,西南,沒資料,良好,單位實用四正 交通方便 配套完善
105917,19032100140125,ASP,2019-03-18,RES,blank,2008/12,13.0,0,753,0,17264,blank,BW:25 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / RM:30 SF (NE) / ,5513085,19032100140125,A,9.0,3,blank,blank,blank,THE PALAZZO,御龍山,LOK KING ST,樂景街,28,blank,NST,STTL470,THE PALAZZO||Phase |Block 3,樂景街THE PALAZZO|Phase|Block3,樂景街THE PALAZZO|Phase|Block3|9|A,沙田,2008,12,blankblank,28 LOK KING ST|樂景街,28 LOK KING ST,28 樂景街,"御龍山3座,樂景街","THE PALAZZO(BLOCK 3),LOK KING ST","THE PALAZZO(Block 3),LOK KING ST|御龍山3座,樂景街",LOK KING STTHE PALAZZOblankblank|Phaseblank|Block3|9|Aconsid13.0,9,低層,南,四正,有,單位實用四正 交通方便 配套完善
105918,19032100270013,ASP,2019-03-06,RES,blank,1980/11,4.759,538,473,8846,10061,blank,blank,5513116,19032100270013,7,20.0,G,2,WING MAU HSE,詠茂閣,SUI WO COURT,穗禾苑,SUI WO RD,穗禾路,6,blank,NST,STTL43RP,SUI WO COURT|WING MAU HSE詠茂閣|Phase 2|Block G,穗禾路SUI WO COURTWING MAU HSE詠茂閣|Phase2|BlockG,穗禾路SUI WO COURTWING MAU HSE詠茂閣|Phase2|BlockG|20|7,沙田,1980,40,WING MAU HSE詠茂閣,6 SUI WO RD|穗禾路,6 SUI WO RD,6 穗禾路,"詠茂閣,穗禾苑,穗禾路","WING MAU HSE,SUI WO COURT,SUI WO RD","WING MAU HSE,SUI WO COURT,SUI WO RD|詠茂閣,穗禾苑,穗禾路",SUI WO RDSUI WO COURTWING MAU HSE詠茂閣|Phase2|BlockG|20|7consid4.759,20,高層,西,四正,有,單位實用四正 交通方便 配套完善
105919,19032100290150,ASP,2019-03-18,RES,blank,2012/09,18.38,0,937,0,19616,blank,BW:29 SF (NE) / BAL:27 SF (NI) / UP:16 SF (NI) / ,5513131,19032100290150,B,40.0,1,blank,blank,blank,THE RIVERPARK,溱岸8號,CHE KUNG MIU RD,車公廟路,8,blank,NST,STTL519,THE RIVERPARK||Phase |Block 1,車公廟路THE RIVERPARK|Phase|Block1,車公廟路THE RIVERPARK|Phase|Block1|40|B,沙田,2012,8,blankblank,8 CHE KUNG MIU RD|車公廟路,8 CHE KUNG MIU RD,8 車公廟路,"溱岸8號1座,車公廟路","THE RIVERPARK(BLOCK 1),CHE KUNG MIU RD","THE RIVERPARK(Block 1),CHE KUNG MIU RD|溱岸8號1座,車公廟路",CHE KUNG MIU RDTHE RIVERPARKblankblank|Phaseblank|Block1|40|Bconsid18.38,40,高層,西北,沒資料,良好,單位實用四正 交通方便 配套完善
105920,19032100360052,ASP,2019-03-15,RES,blank,1984/08,4.75,457,290,10394,16379,blank,BW:63 SF (GI/NE) / ,5513154,19032100360052,A,15.0,3,1,ASHLEY GDN,雅麗苑,SHATINPARK,花園城,SHA KOK ST,沙角街,8,12,NST,STTL131,SHATINPARK|ASHLEY GDN雅麗苑|Phase 1|Block 3,沙角街SHATINPARKASHLEY GDN雅麗苑|Phase1|Block3,沙角街SHATINPARKASHLEY GDN雅麗苑|Phase1|Block3|15|A,沙田,1984,36,ASHLEY GDN雅麗苑,8-12 SHA KOK ST|沙角街,8-12 SHA KOK ST,8-12 沙角街,"雅麗苑,花園城,沙角街","ASHLEY GDN,SHATINPARK,SHA KOK ST","ASHLEY GDN,SHATINPARK,SHA KOK ST|雅麗苑,花園城,沙角街",SHA KOK STSHATINPARKASHLEY GDN雅麗苑|Phase1|Block3|15|Aconsid4.75,15,中層,東,呂字型,良好,業主減價 上車筍盤 歡迎約睇
105921,19032100530331,ASP,2019-03-08,RES,blank,1981/05,5.35,395,327,13544,16361,blank,blank,5513217,19032100530331,C,18.0,8,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK KEI ST,得基街,5,blank,NST,STTL1sARP,CITY ONE SHATIN||Phase |Block 8,得基街CITY ONE SHATIN|Phase|Block8,得基街CITY ONE SHATIN|Phase|Block8|18|C,沙田,1981,39,blankblank,5 TAK KEI ST|得基街,5 TAK KEI ST,5 得基街,"沙田第一城8座,得基街","CITY ONE SHATIN(BLOCK 8),TAK KEI ST","CITY ONE SHATIN(Block 8),TAK KEI ST|沙田第一城8座,得基街",TAK KEI STCITY ONE SHATINblankblank|Phaseblank|Block8|18|Cconsid5.35,18,高層,南,沒資料,良好,單位實用四正 交通方便 配套完善
105923,19032100560553,ASP,2019-03-11,RES,blank,1985/05,4.93,410,305,12024,16164,blank,BW:22 SF (GI/NE) / ,5513254,19032100560553,H,3.0,39,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,16,blank,NST,STTL1sF,CITY ONE SHATIN||Phase |Block 39,百得街CITY ONE SHATIN|Phase|Block39,百得街CITY ONE SHATIN|Phase|Block39|3|H,沙田,1985,35,blankblank,16 PAK TAK ST|百得街,16 PAK TAK ST,16 百得街,"沙田第一城39座,百得街","CITY ONE SHATIN(BLOCK 39),PAK TAK ST","CITY ONE SHATIN(Block 39),PAK TAK ST|沙田第一城39座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block39|3|Hconsid4.93,3,中層,西,呂字型,基本,單位實用四正 交通方便 配套完善
