,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
15451,19051701600011,ASP,2019-04-29,RES,blank,2017/10,12.7458,0,700,0,18208,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5545746,19051701600011,M,7.0,1,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 1,大網仔路THE MEDITERRANEAN|Phase|Block1,大網仔路THE MEDITERRANEAN|Phase|Block1|7|M,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園1座,大網仔路","THE MEDITERRANEAN(BLOCK 1),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 1),TAI MONG TSAI RD|逸瓏園1座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block1|7|Mconsid12.7458,7
15452,19052800220075,ASP,2019-05-10,RES,blank,1980/04,4.0,0,340,0,11765,blank,blank,5553536,19052800220075,B,3.0,blank,blank,KAM PO COURT,金寶閣,blank,blank,SAI KUNG HOI PONG SQUARE,西貢海傍廣場,2,blank,NSK,DD215LOT939,|KAM PO COURT金寶閣|Phase |Block ,西貢海傍廣場KAM PO COURT金寶閣|Phase|Block,西貢海傍廣場KAM PO COURT金寶閣|Phase|Block|3|B,西貢,1980,40,KAM PO COURT金寶閣,2 SAI KUNG HOI PONG SQUARE|西貢海傍廣場,2 SAI KUNG HOI PONG SQUARE,2 西貢海傍廣場,"金寶閣,西貢海傍廣場","KAM PO COURT,SAI KUNG HOI PONG SQUARE","KAM PO COURT,SAI KUNG HOI PONG SQUARE|金寶閣,西貢海傍廣場",SAI KUNG HOI PONG SQUAREblankKAM PO COURT金寶閣|Phaseblank|Blockblank|3|Bconsid4.0,3
15454,19053100560051,ASP,2019-05-20,RES,blank,2017/10,9.1738,0,590,0,15549,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5557129,19053100560051,C,1.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|1|C,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|1|Cconsid9.1738,1
15455,19060501710099,ASP,2019-05-09,RES,blank,2017/10,10.5702,0,539,0,19611,blank,BAL:22 SF (NI) / UP:16 SF (NI) / GDN:448 SF / ,5560333,19060501710099,E,,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|G|E,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|G|Econsid10.5702,G
15456,19060601130046,ASP,2019-05-22,RES,blank,1979/09,4.46,438,352,10183,12670,blank,blank,5561074,19060601130046,4,6.0,A,blank,blank,blank,SIU YAT BLDG,兆日大樓,SAI KUNG HOI PONG SQUARE,西貢海傍廣場,1,blank,NSK,DD215LOT941,SIU YAT BLDG||Phase |Block A,西貢海傍廣場SIU YAT BLDG|Phase|BlockA,西貢海傍廣場SIU YAT BLDG|Phase|BlockA|6|4,西貢,1979,41,blankblank,1 SAI KUNG HOI PONG SQUARE|西貢海傍廣場,1 SAI KUNG HOI PONG SQUARE,1 西貢海傍廣場,"兆日大樓A座,西貢海傍廣場","SIU YAT BLDG(BLOCK A),SAI KUNG HOI PONG SQUARE","SIU YAT BLDG(Block A),SAI KUNG HOI PONG SQUARE|兆日大樓A座,西貢海傍廣場",SAI KUNG HOI PONG SQUARESIU YAT BLDGblankblank|Phaseblank|BlockA|6|4consid4.46,6
15458,19061000990014,ASP,2019-05-20,RES,blank,2016/09,63.3798,0,2619,0,24200,blank,BAL:28 SF (NI) / UP:17 SF (NI) / RM:37 SF (NE) / FR:350 SF / RF:642 SF / ,5562061,19061000990014,P7,1.0,D,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block D,清水灣道MOUNT PAVILIA|Phase|BlockD,清水灣道MOUNT PAVILIA|Phase|BlockD|1|P7,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧D座,清水灣道","MOUNT PAVILIA(BLOCK D),CLEAR WATER BAY RD","MOUNT PAVILIA(Block D),CLEAR WATER BAY RD|傲瀧D座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|BlockD|1|P7consid63.3798,1
15459,19061102000053,ASP,2019-05-31,RES,blank,2016/09,43.816,0,1841,0,23800,blank,BAL:74 SF (NI) / UP:29 SF (NI) / RF:1399 SF / ,5563168,19061102000053,A,7.0,12,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 12,清水灣道MOUNT PAVILIA|Phase|Block12,清水灣道MOUNT PAVILIA|Phase|Block12|7|A,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧12座,清水灣道","MOUNT PAVILIA(BLOCK 12),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 12),CLEAR WATER BAY RD|傲瀧12座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block12|7|Aconsid43.816,7
15461,19061800700011,ASP,2019-06-10,RES,blank,1997/07,5.6,574,427,9756,13115,blank,BW:40 SF (GI/NE) / ,5566742,19061800700011,E,7.0,4,blank,blank,blank,LAKESIDE GDN,翠塘花園,CHUI TONG RD,翠塘路,1,blank,NSK,DD215LOT1126,LAKESIDE GDN||Phase |Block 4,翠塘路LAKESIDE GDN|Phase|Block4,翠塘路LAKESIDE GDN|Phase|Block4|7|E,西貢,1997,23,blankblank,1 CHUI TONG RD|翠塘路,1 CHUI TONG RD,1 翠塘路,"翠塘花園4座,翠塘路","LAKESIDE GDN(BLOCK 4),CHUI TONG RD","LAKESIDE GDN(Block 4),CHUI TONG RD|翠塘花園4座,翠塘路",CHUI TONG RDLAKESIDE GDNblankblank|Phaseblank|Block4|7|Econsid5.6,7
15464,19062100300040,ASP,2019-06-14,RES,blank,1997/07,4.58,771,570,5940,8035,blank,BW:42 SF (GI/NE) / ,5569094,19062100300040,E,6.0,10,blank,blank,blank,LAKESIDE GDN,翠塘花園,CHUI TONG RD,翠塘路,1,blank,NSK,DD215LOT1126,LAKESIDE GDN||Phase |Block 10,翠塘路LAKESIDE GDN|Phase|Block10,翠塘路LAKESIDE GDN|Phase|Block10|6|E,西貢,1997,23,blankblank,1 CHUI TONG RD|翠塘路,1 CHUI TONG RD,1 翠塘路,"翠塘花園10座,翠塘路","LAKESIDE GDN(BLOCK 10),CHUI TONG RD","LAKESIDE GDN(Block 10),CHUI TONG RD|翠塘花園10座,翠塘路",CHUI TONG RDLAKESIDE GDNblankblank|Phaseblank|Block10|6|Econsid4.58,6
15465,19062401540050,ASP,2019-06-05,RES,CP,1988/05,12.38,1371,1147,9030,10793,blank,blank,5570600,19062401540050,A,1.0,4,blank,GREEN PARK,碧翠苑,blank,blank,RAZOR HILL RD,碧翠路,29,blank,NSK,DD253LOT1175,|GREEN PARK碧翠苑|Phase |Block 4,碧翠路GREEN PARK碧翠苑|Phase|Block4,碧翠路GREEN PARK碧翠苑|Phase|Block4|1|A,西貢,1988,32,GREEN PARK碧翠苑,29 RAZOR HILL RD|碧翠路,29 RAZOR HILL RD,29 碧翠路,"碧翠苑,碧翠路","GREEN PARK,RAZOR HILL RD","GREEN PARK,RAZOR HILL RD|碧翠苑,碧翠路",RAZOR HILL RDblankGREEN PARK碧翠苑|Phaseblank|Block4|1|Aconsid12.38,1
15466,19062602240019,ASP,2019-06-10,RES,blank,2017/10,9.9664,0,704,0,14157,blank,BAL:26 SF (NI) / UP:16 SF (NI) / ,5572168,19062602240019,L,7.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|7|L,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|7|Lconsid9.9664,7
15469,19070801820154,ASP,2019-06-12,RES,blank,2017/10,16.0,0,894,0,17897,blank,BAL:31 SF (NI) / UP:16 SF (NI) / GDN:439 SF / ,5577594,19070801820154,H,,5,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 5,大網仔路THE MEDITERRANEAN|Phase|Block5,大網仔路THE MEDITERRANEAN|Phase|Block5|G|H,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園5座,大網仔路","THE MEDITERRANEAN(BLOCK 5),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 5),TAI MONG TSAI RD|逸瓏園5座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block5|G|Hconsid16.0,G
15471,19071701450024,ASP,2019-07-04,RES,blank,2017/10,12.9522,0,852,0,15202,blank,BAL:30 SF (NI) / UP:16 SF (NI) / ,5582673,19071701450024,G,6.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|6|G,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|6|Gconsid12.9522,6
15473,19071800740578,ASP,2019-07-08,RES,blank,2017/10,12.121,0,827,0,14657,blank,BAL:29 SF (NI) / UP:16 SF (NI) / ,5583261,19071800740578,A,6.0,2,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 2,康村路PARK MEDITERRANEAN|Phase|Block2,康村路PARK MEDITERRANEAN|Phase|Block2|6|A,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯2座,康村路","PARK MEDITERRANEAN(BLOCK 2),HONG TSUEN RD","PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block2|6|Aconsid12.121,6
15474,19071901510123,ASP,2019-07-08,RES,blank,2017/10,11.3654,0,704,0,16144,blank,BAL:26 SF (NI) / UP:16 SF (NI) / RF:574 SF / ,5584194,19071901510123,L,8.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|8|L,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|8|Lconsid11.3654,8
15477,19072901910019,ASP,2019-07-04,RES,blank,2017/10,8.4948,0,590,0,14398,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5589167,19072901910019,C,5.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|5|C,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|5|Cconsid8.4948,5
15478,19073001790065,ASP,2019-07-10,RES,blank,2017/10,12.8,0,884,0,14480,blank,BAL:32 SF (NI) / UP:16 SF (NI) / ,5589721,19073001790065,K,3.0,2,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 2,大網仔路THE MEDITERRANEAN|Phase|Block2,大網仔路THE MEDITERRANEAN|Phase|Block2|3|K,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園2座,大網仔路","THE MEDITERRANEAN(BLOCK 2),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 2),TAI MONG TSAI RD|逸瓏園2座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block2|3|Kconsid12.8,3
15479,19073100410073,ASP,2019-07-12,RES,blank,2017/10,10.5753,0,695,0,15216,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5590105,19073100410073,L,2.0,1,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 1,大網仔路THE MEDITERRANEAN|Phase|Block1,大網仔路THE MEDITERRANEAN|Phase|Block1|2|L,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園1座,大網仔路","THE MEDITERRANEAN(BLOCK 1),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 1),TAI MONG TSAI RD|逸瓏園1座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block1|2|Lconsid10.5753,2
15481,19080202390180,ASP,2019-07-19,RES,blank,2017/10,8.4705,0,491,0,17252,blank,BAL:22 SF (NI) / UP:16 SF (NI) / RF:361 SF / ,5591907,19080202390180,F,8.0,3,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 3,康村路PARK MEDITERRANEAN|Phase|Block3,康村路PARK MEDITERRANEAN|Phase|Block3|8|F,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯3座,康村路","PARK MEDITERRANEAN(BLOCK 3),HONG TSUEN RD","PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block3|8|Fconsid8.4705,8
15482,19080500250060,ASP,2019-07-19,RES,blank,2017/10,10.8267,0,699,0,15489,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5592062,19080500250060,M,3.0,2,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 2,大網仔路THE MEDITERRANEAN|Phase|Block2,大網仔路THE MEDITERRANEAN|Phase|Block2|3|M,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園2座,大網仔路","THE MEDITERRANEAN(BLOCK 2),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 2),TAI MONG TSAI RD|逸瓏園2座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block2|3|Mconsid10.8267,3
15483,19080501060011,ASP,2019-07-19,RES,blank,2016/09,39.584,0,1599,0,24755,blank,BAL:61 SF (NI) / UP:19 SF (NI) / ,5592280,19080501060011,B,6.0,1,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 1,清水灣道MOUNT PAVILIA|Phase|Block1,清水灣道MOUNT PAVILIA|Phase|Block1|6|B,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧1座,清水灣道","MOUNT PAVILIA(BLOCK 1),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 1),CLEAR WATER BAY RD|傲瀧1座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block1|6|Bconsid39.584,6
15484,19080501630042,ASP,2019-07-15,RES,blank,2017/10,10.232,0,599,0,17082,blank,BAL:22 SF (NI) / UP:16 SF (NI) / RF:527 SF / ,5592473,19080501630042,H,8.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|8|H,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|8|Hconsid10.232,8
15486,19080901070346,ASP,2019-07-18,RES,blank,2017/10,13.285,0,852,0,15593,blank,BAL:30 SF (NI) / UP:16 SF (NI) / ,5595246,19080901070346,G,7.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|7|G,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|7|Gconsid13.285,7
15487,19080901540210,ASP,2019-07-26,RES,blank,2017/10,5.901,0,391,0,15092,blank,BAL:22 SF (NI) / UP:16 SF (NI) / FR:103 SF / ,5595356,19080901540210,M,2.0,3,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 3,康村路PARK MEDITERRANEAN|Phase|Block3,康村路PARK MEDITERRANEAN|Phase|Block3|2|M,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯3座,康村路","PARK MEDITERRANEAN(BLOCK 3),HONG TSUEN RD","PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block3|2|Mconsid5.901,2
15488,19081202130488,ASP,2019-07-22,RES,blank,2017/10,10.222,0,566,0,18060,blank,BAL:22 SF (NI) / UP:16 SF (NI) / GDN:336 SF / ,5596449,19081202130488,B,,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|G|B,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|G|Bconsid10.222,G
15490,19081900520124,ASP,2019-08-02,RES,blank,2017/10,5.9343,0,396,0,14986,blank,BAL:22 SF (NI) / UP:16 SF (NI) / FR:84 SF / ,5600079,19081900520124,N,2.0,3,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 3,康村路PARK MEDITERRANEAN|Phase|Block3,康村路PARK MEDITERRANEAN|Phase|Block3|2|N,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯3座,康村路","PARK MEDITERRANEAN(BLOCK 3),HONG TSUEN RD","PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block3|2|Nconsid5.9343,2
15491,19081900740069,ASP,2019-07-26,RES,CP,1988/05,13.1,1371,1147,9555,11421,blank,BW:27 SF (GI/NE) / RF:1169 SF / ,5600619,19081900740069,A,2.0,7,blank,GREEN PARK,碧翠苑,blank,blank,RAZOR HILL RD,碧翠路,29,blank,NSK,DD253LOT1175,|GREEN PARK碧翠苑|Phase |Block 7,碧翠路GREEN PARK碧翠苑|Phase|Block7,碧翠路GREEN PARK碧翠苑|Phase|Block7|2|A,西貢,1988,32,GREEN PARK碧翠苑,29 RAZOR HILL RD|碧翠路,29 RAZOR HILL RD,29 碧翠路,"碧翠苑,碧翠路","GREEN PARK,RAZOR HILL RD","GREEN PARK,RAZOR HILL RD|碧翠苑,碧翠路",RAZOR HILL RDblankGREEN PARK碧翠苑|Phaseblank|Block7|2|Aconsid13.1,2
15492,19082301690141,ASP,2019-08-02,RES,blank,2016/09,42.47,0,1701,0,24968,blank,GDN:886 SF / ,5603274,19082301690141,D,,6,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 6,清水灣道MOUNT PAVILIA|Phase|Block6,清水灣道MOUNT PAVILIA|Phase|Block6|G|D,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧6座,清水灣道","MOUNT PAVILIA(BLOCK 6),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 6),CLEAR WATER BAY RD|傲瀧6座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block6|G|Dconsid42.47,G
15493,19083002420485,ASP,2019-08-02,RES,blank,2017/10,7.1777,0,424,0,16929,blank,BAL:22 SF (NI) / UP:16 SF (NI) / RF:346 SF / ,5606603,19083002420485,E,8.0,3,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 3,康村路PARK MEDITERRANEAN|Phase|Block3,康村路PARK MEDITERRANEAN|Phase|Block3|8|E,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯3座,康村路","PARK MEDITERRANEAN(BLOCK 3),HONG TSUEN RD","PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block3|8|Econsid7.1777,8
15494,19090400320276,ASP,2019-08-14,RES,blank,2017/10,8.0347,0,457,0,17581,blank,BAL:22 SF (NI) / UP:16 SF (NI) / RF:372 SF / ,5607666,19090400320276,K,8.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|8|K,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|8|Kconsid8.0347,8
15495,19090501800185,ASP,2019-08-16,RES,blank,2017/10,8.2695,0,571,0,14482,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5608471,19090501800185,M,6.0,2,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 2,康村路PARK MEDITERRANEAN|Phase|Block2,康村路PARK MEDITERRANEAN|Phase|Block2|6|M,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯2座,康村路","PARK MEDITERRANEAN(BLOCK 2),HONG TSUEN RD","PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block2|6|Mconsid8.2695,6
