,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_addr_google,st_address,ch_address,en_address,ch_addr_google,en_addr_google,final_address,final_address_consid,floor_copy,time_adj_npsf
443,7587697,ASP,1998-09-21,RES,blank,1965/04,10.3,0,2590,0,3976.833976833977,CPS 286 ,blank,44398,7587697,2,15.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|15|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|15|2consid10.3",15,15025.454016444188
452,7608033,ASP,1998-10-30,RES,blank,1965/04,14.9,0,2920,0,5102.739726027397,CPS 167 ,blank,62936,7608033,1,20.0,F,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block F,司徒拔道VILLA MONTE ROSA|Phase|BlockF,司徒拔道VILLA MONTE ROSA|Phase|BlockF|20|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD","玫瑰新村,F座,司徒拔道,香港","VILLA MONTE ROSA,Block F,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道|20|1consid14.9",20,19367.790085246146
456,7612785,ASP,1998-11-03,RES,blank,1965/04,12.5,0,2580,0,4844.961240310077,CPS 64207 ,blank,69165,7612785,1,4.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|4|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|4|1consid12.5",4,17245.417504565296
457,7615599,ASP,1998-11-03,RES,blank,1965/04,11.8,0,2580,0,4573.643410852713,CPS 60 ,blank,71963,7615599,1,14.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|14|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|14|1consid11.8",14,16279.674124309635
459,7616366,ASP,1998-11-10,RES,blank,1965/04,9.18,2217,2074,4141,4426.229508196721,CPS 70 ,blank,72880,7616366,1,1.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|1|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|1|1consid9.18",1,15754.961093351061
461,7617780,ASP,1998-11-05,RES,blank,1965/04,9.0,0,2580,0,3488.3720930232557,CPS 278 ,blank,74075,7617780,1,2.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|2|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|2|1consid9.0",2,12416.700603287012
464,7620947,ASP,1998-11-13,RES,blank,1965/04,12.2,0,2580,0,4728.6821705426355,CPS 223 ,blank,78872,7620947,1,1.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|1|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|1|1consid12.2",1,16831.527484455728
468,7624341,SUB-ASP,1998-11-16,RES,blank,1970/11,11.5,2600,2380,4423,4831.9327731092435,blank,blank,83526,7624341,2,9.0,A,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block A,司徒拔道EVERGREEN VILLA|Phase|BlockA,司徒拔道EVERGREEN VILLA|Phase|BlockA|9|2,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村A座,司徒拔道","EVERGREEN VILLA(Block A),STUBBS RD","松柏新村,A座,司徒拔道,香港","EVERGREEN VILLA,Block A,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道","EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道|9|2consid11.5",9,17199.04327262024
470,7627468,PRO-ASP,1998-10-26,RES,blank,1990/11,13.66,1993,1662,6854,8219.013237063778,CPS 7 ON CPL1/F ,blank,87548,7627468,1,21.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,6,10,HP,IL754860717549,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|21|1,山頂,1990,30,,6-10 WONG NAI CHUNG GAP RD,6-10 黃泥涌峽道,"6-10 WONG NAI CHUNG GAP RD,Hong Kong",6-10 WONG NAI CHUNG GAP RD|6-10 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|21|1consid13.66",21,31195.81472505149
476,7641089,ASP,1998-11-30,RES,blank,1990/11,13.3,1993,1662,6673,8002.406738868833,CPS 21 ON CP1/F ,blank,103079,7641089,1,6.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL754860717549,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|6|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|6|1consid13.3",6,28484.200060248062
483,7652910,ASP,1998-12-21,RES,blank,1972/09,18.0,2433,2213,7398,8133.755083596927,CPS 5 ,blank,114975,7652910,B,3.0,blank,blank,MOUNTAIN LODGE,崑廬,blank,,MOUNT KELLETT RD,加列山道,44,blank,HP,RBL199,|MOUNTAIN LODGE崑廬|Phase |Block ,加列山道MOUNTAIN LODGE崑廬|Phase|Block,加列山道MOUNTAIN LODGE崑廬|Phase|Block|3|B,山頂,1972,48,MOUNTAIN LODGE崑廬,44 MOUNT KELLETT RD,44 加列山道,"44 MOUNT KELLETT RD,Hong Kong",44 MOUNT KELLETT RD|44 加列山道,"崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD","崑廬,加列山道,香港","MOUNTAIN LODGE,MOUNT KELLETT RD,Hong Kong","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道|3|Bconsid18.0",3,28443.142769783397
484,7655468,ASP,1998-12-23,RES,blank,1972/09,18.8,2433,2213,7727,8495.255309534568,CPS 14 ,blank,116587,7655468,B,8.0,blank,blank,MOUNTAIN LODGE,崑廬,blank,,MOUNT KELLETT RD,加列山道,44,blank,HP,RBL199,|MOUNTAIN LODGE崑廬|Phase |Block ,加列山道MOUNTAIN LODGE崑廬|Phase|Block,加列山道MOUNTAIN LODGE崑廬|Phase|Block|8|B,山頂,1972,48,MOUNTAIN LODGE崑廬,44 MOUNT KELLETT RD,44 加列山道,"44 MOUNT KELLETT RD,Hong Kong",44 MOUNT KELLETT RD|44 加列山道,"崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD","崑廬,加列山道,香港","MOUNTAIN LODGE,MOUNT KELLETT RD,Hong Kong","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道|8|Bconsid18.8",8,29707.282448440437
485,7656069,PRO-ASP,1998-12-03,RES,blank,1972/03,12.43,2547,2353,4880,5282.617934551637,CPS 343 ,blank,117402,7656069,1,8.0,C,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block C,司徒拔道EVERGREEN VILLA|Phase|BlockC,司徒拔道EVERGREEN VILLA|Phase|BlockC|8|1,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD","松柏新村,C座,司徒拔道,香港","EVERGREEN VILLA,Block C,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道|8|1consid12.43",8,18472.926042939656
490,7673016,ASP,1999-01-16,RES,blank,1965/04,11.3,2217,2062,5097,5480.11639185257,CPS 263 ,blank,130053,7673016,2,12.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|12|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|12|2consid11.3",12,19166.7840586148
492,7678909,ASP,1999-01-14,RES,blank,1964/05,16.8,0,2700,0,6222.222222222223,CPS 25 ,blank,136515,7678909,1,1.0,B,blank,blank,,CAROLINA GARDENS,嘉樂園,COOMBE RD,甘道,20,26,HP,RBL765,CAROLINA GDNS||Phase |Block B,甘道CAROLINA GDNS|Phase|BlockB,甘道CAROLINA GDNS|Phase|BlockB|1|1,山頂,1964,56,,20-26 COOMBE RD,20-26 甘道,"20-26 COOMBE RD,Hong Kong",20-26 COOMBE RD|20-26 甘道,"嘉樂園B座,甘道","CAROLINA GARDENS(Block B),COOMBE RD","嘉樂園,B座,甘道,香港","CAROLINA GARDENS,Block B,COOMBE RD,Hong Kong","CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道","CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道|1|1consid16.8",1,21762.3096245464
502,7723689,PRO-ASP,1999-03-11,RES,blank,1990/11,14.2,1993,1662,7125,8543.922984356197,CPS 88A ON CPL3/F ,blank,171624,7723689,1,25.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,6,10,HP,IL754860717549,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|25|1,山頂,1990,30,,6-10 WONG NAI CHUNG GAP RD,6-10 黃泥涌峽道,"6-10 WONG NAI CHUNG GAP RD,Hong Kong",6-10 WONG NAI CHUNG GAP RD|6-10 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|25|1consid14.2",25,30713.801102880865
504,7727118,ASP,1999-03-20,RES,blank,1965/04,9.1,2217,2074,4105,4387.656702025072,CPS 184201 ,blank,175447,7727118,1,7.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|7|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|7|1consid9.1",7,15772.803137442472
506,7728615,ASP,1999-03-22,RES,blank,1990/11,12.95,1993,1662,6498,7791.817087845969,CPS 3 ON CPL3/F ,blank,176396,7728615,2,7.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL754860717549,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|7|2,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|7|2consid12.95",7,28010.121428331495
510,7731839,PRO-ASP,1999-03-25,RES,blank,1965/04,9.28,2217,2062,4186,4500.484966052376,CPS 316 ON G/F ,blank,179125,7731839,2,10.0,E,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block E,司徒拔道VILLA MONTE ROSA|Phase|BlockE,司徒拔道VILLA MONTE ROSA|Phase|BlockE|10|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村E座,司徒拔道","VILLA MONTE ROSA(Block E),STUBBS RD","玫瑰新村,E座,司徒拔道,香港","VILLA MONTE ROSA,Block E,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道","VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道|10|2consid9.28",10,16178.399590788671
511,7732777,PRO-ASP,1999-03-14,RES,blank,1972/03,13.08,2547,2353,5135,5558.861028474288,CPS 334335 ,blank,180722,7732777,1,6.0,C,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block C,司徒拔道EVERGREEN VILLA|Phase|BlockC,司徒拔道EVERGREEN VILLA|Phase|BlockC|6|1,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD","松柏新村,C座,司徒拔道,香港","EVERGREEN VILLA,Block C,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道|6|1consid13.08",6,19983.0630846891
514,7737422,ASP,1999-03-29,RES,blank,1965/04,10.0,0,2580,0,3875.968992248062,CPS 52130 ,blank,183195,7737422,1,9.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|9|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|9|1consid10.0",9,13933.381764654438
518,7742987,ASP,1999-03-31,RES,blank,1970/11,13.3,2600,2363,5115,5628.438425730004,CPS 201 ON 2/F ,blank,190563,7742987,2,9.0,B,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block B,司徒拔道EVERGREEN VILLA|Phase|BlockB,司徒拔道EVERGREEN VILLA|Phase|BlockB|9|2,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD","松柏新村,B座,司徒拔道,香港","EVERGREEN VILLA,Block B,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道|9|2consid13.3",9,20233.18078173307
520,7744122,ASP,1999-04-07,RES,blank,1972/08,8.6,1720,1520,5000,5657.894736842105,blank,blank,191995,7744122,2,12.0,F,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block F,司徒拔道EVERGREEN VILLA|Phase|BlockF,司徒拔道EVERGREEN VILLA|Phase|BlockF|12|2,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD","松柏新村,F座,司徒拔道,香港","EVERGREEN VILLA,Block F,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道|12|2consid8.6",12,19536.7556371804
524,7758666,ASP,1999-04-22,RES,blank,1965/04,9.45,0,2138,0,4420.018709073901,CPS 235 ,blank,206405,7758666,2,5.0,B,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block B,司徒拔道VILLA MONTE ROSA|Phase|BlockB,司徒拔道VILLA MONTE ROSA|Phase|BlockB|5|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村B座,司徒拔道","VILLA MONTE ROSA(Block B),STUBBS RD","玫瑰新村,B座,司徒拔道,香港","VILLA MONTE ROSA,Block B,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道","VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道|5|2consid9.45",5,15262.359843608416
525,7759213,ASP,1999-04-22,RES,blank,1990/11,12.78,1993,1662,6412,7689.5306859205775,CPS 6 ON CP2/F ,blank,207858,7759213,1,5.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL754860717549,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|5|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|5|1consid12.78",5,26552.010767750508
526,7769255,PRO-ASP,1999-05-08,RES,blank,1965/04,10.38,2217,2074,4682,5004.821600771456,CPS 184201 ,blank,226257,7769255,1,7.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|7|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|7|1consid10.38",7,17250.0734349719
527,7771060,ASP,1999-05-17,RES,blank,1970/08,17.0,0,2268,0,7495.590828924162,CPS B22 ,blank,220441,7771060,2,1.0,B,blank,blank,,VILLA VERDE,環翠園,GUILDFORD RD,僑福道,12,14,HP,RBL805,VILLA VERDE||Phase |Block B,僑福道VILLA VERDE|Phase|BlockB,僑福道VILLA VERDE|Phase|BlockB|1|2,山頂,1970,50,,12-14 GUILDFORD RD,12-14 僑福道,"12-14 GUILDFORD RD,Hong Kong",12-14 GUILDFORD RD|12-14 僑福道,"環翠園B座,僑福道","VILLA VERDE(Block B),GUILDFORD RD","環翠園,B座,僑福道,香港","VILLA VERDE,Block B,GUILDFORD RD,Hong Kong","VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道","VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道|1|2consid17.0",1,25834.98525052584
